,tweets_original,tweets_translater_unicamp,tweets_translater_face,polaridade
1976,"Time vermelho! 
(Mejulguem)
#MasterChefBR",The red team! (Mejulguem) #MasterChefBR,Red Time! (Mejulguem) #MasterChefBR,1
1977,"E no #MaisVoce de hoje,tivermos torta de climão,quer dizer nhoque de abóbora!","We have cake of climão, that is, pumpkin weak","And in the #MaisVoce of today, we will have a cake of clay, even to say a snack of beef!",-1
1978,Caceeetaaaa #EquipeAzul tão muito perdidos... aiii carambaaa... vou ser tombada to vendoo #MasterChefBR,"I'm being taken to seeo #MasterChefBR""","I’m going to get a lot of money, I’m going to get a lot of money, I’m going to get a lot of money, I’m going to get a lot of money, I’m going to get a lot of money, I’m going to get a lot of money.",-1
1979,Aquela dos 30 pra levantar os ânimos #SandyNoEncontro #Encontro,The 30 to raise their spirit #SandyNoNocontrol #,The one of the 30 to raise the souls #SandyNoMeet #Meet,1
1980,#altashoras vários boyzinhos na plateia do altas horas,#high hours various boys in the audience of high,There are many different types of cookies that can be accessed by the user.,1
1981,"To em lagrimas com o filho do Serginho 😢❤
#altashoras",To in tears with the son of Serginho ❤ #high,To in tears with the son of Serginho #altashoras,1
1982,#conversacombial eu queria dormir... Mas com @MaiaraeMaraisa  não tem como?!?,But with it there is no way?!?,"I wanted to sleep, but with @MaiaraeMaraisa it doesn't do?!?",1
1983,O Sport de ouro que emociona!!!!!! ♥ #Encontro,The gold Sport that emotions!!!!!! ♥ #Encontrol,The Golden Sport that excites!!! ♥ #Meeting,1
1984,"#conversacombial programa cheio de mordaças com o Rodrigo Santoro, nem um nome de série ou filme estrangeiro do passado, patético!!!","#conversacombial program full of bites with Rodrigo Santoro, no se","#conversacombial program full of murders with Rodrigo Santoro, not a series name or foreign film of the past, pathetic!!!",-1
1985,"Caetano e Chico buarque 
PUTA QUE PARIU!!!!!! 👏🏾👏🏾👏🏾#VideoShowAoVivo",#VideoShowAoVivivivivivivivivivi,I'm sure I'm going to have a lot of money and I'm going to have a lot of money and I'm going to have a lot of money.,1
1986,Não eram  cavalo hahahahaha #ConversaComBial,They were not horse hahahahahaha #ConversaComB,It was not a horse hahahahaha #ConversaComBial,1
1987,vai começar #MasterChefBR,It will start #MasterChefBR,It will start #MasterChefBR,1
1988,"#MaisVoce Meus olhos não saem da blusa da Ana, linda demaaais 😍😍😍 Nunca te pedi nada, manda essa blusa pra mim Ana. PLEASE!!! 😂😂😂☺☺☺","My eyes do not leave Ana's blouse, beauti""","I'm not sure I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back.",1
1989,Domingo ela não vai #AltasHoras,Sunday she does not go #TextsHours,Sunday she doesn't go #AltasHoras,0
1990,Além de se intrometer e enfraquecer duas discussões no mesmo programa. 🤦🏾‍♀️ #encontro, ♀️ #encontro,In addition to intrometer and weakening two discussions in the same program.  ♀️ #touch,-1
1991,"Começa logooooooooo! 
@MaiaraeMaraisa 
#MaiaraeMaraisaNoBial 
#ConversaComBial",#MaiaraeMaraisaNoBial #ConversationBial #Con,"This is the first time I’ve been in the world, and I’ve been in the world.",1
1992,#MasterChefBR preparar minhas uvas na espera do masterchef😘😘🍇,#MasterChefBR prepare my grapes while waiting for,#MasterChefBR prepares my grapes in waiting for the masterchef,1
1993,"""A sociedade está doente."" #Encontro",#Control,“The society is sick.” #Encounter,-1
1994,"#MasterChefBR eu quero dormir, tem como acabar logo","I want to sleep, there is a way to end so","#MasterChefBR I want to sleep, it’s how to finish soon",-1
1995,Essa filha da Carolina Kasting é a cara dela!! #Encontro,#Meeting this daughter of Carolina Kasting is her face!!,This daughter of Carolina Kasting is her face!!,0
1996,Nossa que dó do Vitor Bourguignon D: eu quase chorei junto #MasterChefBR,I almost cried together #MasterChefBR: I almos,Vitor Bourguignon D: I almost cried at #MasterChefBR,-1
1997,"O SBT tá sem som.. SOCORRO @DaniloGentili 

#TheNoite",SOCORRO #TheNoite is no sound.. SOCORRO #,The SBT is without sound.SOCORRO @DaniloGentili #TheNoite,-1
1998,"#AltasHoras.  Quanta mulher linda no Programa! 🌷🌷🌷🌷
Sophia Abrahão,  Bela Gil, Laís Souza, Vanessa da Mata. Referências.",How many beautiful women in the Program!  Sophia Abrah,"How beautiful woman in the program! ⭐⭐⭐⭐ Sophia Abraham, Bela Gil, Laís Souza, Vanessa da Mata.",1
1999,"To em lagrimas com o filho do Serginho 😢❤
#altashoras",The best person Humility in Person #Altashoras,To in tears with the son of Serginho #altashoras,1
2000,#conversacombial eu queria dormir... Mas com   não tem como?!?,"I've just cried  with this clip #aquarela""","I wanted to sleep, but I don’t want to sleep.",1
2001,O Sport de ouro que emociona!!!!!! ♥ #Encontro,Yuko defending himself in the comments of youtube k,The Golden Sport that excites!!! ♥ #Meeting,1
2002,"#conversacombial programa cheio de mordaças com o Rodrigo Santoro, nem um nome de série ou filme estrangeiro do passado, patético!!!",João se fudeu na revolta do Chewaca #thenoite João se fudeu na revolta,"#conversacombial program full of murders with Rodrigo Santoro, not a series name or foreign film of the past, pathetic!!!",-1
2003,"Caetano e Chico buarque 
PUTA QUE PARIU!!!!!! 👏🏾👏🏾👏🏾#VideoShowAoVivo","I don't know who is more boring, the Supla cover""",I'm sure I'm going to have a lot of money and I'm going to have a lot of money and I'm going to have a lot of money.,-1
2004,Não eram  cavalo hahahahaha #ConversaComBial,These are wonderful aaaaaa #AltasHour,It was not a horse hahahahaha #ConversaComBial,1
2005,vai começar #MasterChefBR,#MasterChefBR cadê meu diazepan.,It will start #MasterChefBR,-1
2006,"#MaisVoce Meus olhos não saem da blusa da Ana, linda demaaais 😍😍😍 Nunca te pedi nada, manda essa blusa pra mim Ana. PLEASE!!! 😂😂😂☺☺☺",The best peripedic so far of the Licurgo and Germana couple Li,"I'm not sure I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back, I'm going to get you back.",0
2007,Domingo ela não vai #AltasHoras,Now that I am a growing age #MasterChefBR Prepare,Sunday she doesn't go #AltasHoras,1
2008,Além de se intrometer e enfraquecer duas discussões no mesmo programa. 🤦🏾‍♀️ #encontro,"This people don't know the technique of breaking""",In addition to intrometer and weakening two discussions in the same program.  ♀️ #touch,-1
2009,"Começa logooooooooo! 
 
#MaiaraeMaraisaNoBial 
#ConversaComBial",After I have to see #MasterChefBR,Start logooooooooo! #MaiaraeMaraisaNoBial #ConversaComBial,1
2010,#MasterChefBR preparar minhas uvas na espera do masterchef😘😘🍇,Bottle non-jkkkkkkkkkkkkk,#MasterChefBR prepares my grapes in waiting for the masterchef,0
2011,"""A sociedade está doente."" #Encontro",#MasterchefBR does not take care of this pe,“The society is sick.” #Encounter,-1
2012,"#MasterChefBR eu quero dormir, tem como acabar logo",They fear about them  #ConversationComBial #,"#MasterChefBR I want to sleep, it’s how to finish soon",0
2013,Essa filha da Carolina Kasting é a cara dela!! #Encontro,It is easy to stay reading these things at ,This daughter of Carolina Kasting is her face!!,1
2014,Nossa que dó do Vitor Bourguignon D: eu quase chorei junto #MasterChefBR,HOJE TEM #MasterChefBR AAAAAA ,Vitor Bourguignon D: I almost cried at #MasterChefBR,1
2015,"O SBT tá sem som.. SOCORRO  

#TheNoite","In morality, Fátima Bernardes is getting entrone, she gets",The SBT is without sound. #TheNoite,-1
2016,"#AltasHoras.  Quanta mulher linda no Programa! 🌷🌷🌷🌷
Sophia Abrahão,  Bela Gil, Laís Souza, Vanessa da Mata. Referências.","Let's let's let's let's let's""","How beautiful woman in the program! ⭐⭐⭐⭐ Sophia Abraham, Bela Gil, Laís Souza, Vanessa da Mata.",0
2017,"Vanessa da Mata melhor pessoa 
Humildade  em Pessoa 
#Altashoras",I love you #TheNoite giving a little snack kk,Vanessa da Mata Best Person Humility in Person #Altashoras,1
2018,Desculpa chorei 😭com esse clipe #aquarela no #DomingoLegal 😍😍,TheNoite song name #TheNoite the song #TheNoite the,Sorry I cried 😭com this #aquarela clip on #DomingoLegal 😍😍,0
2019,Yuko se defendendo nos comentarios do youtube kkkkk eu amo essa mulher #MasterChefBR,The Popular who wants to get rich like me #MasterChe,Yuko defending himself in youtube comments kkkkk I love this woman #MasterChefBR,0
2020,#thenoite    João se fudeu na revolta do Chewaca,Every day a scratch male getting ashamed.,#thenoite John escaped from the Chewaca revolt,-1
2021,"Não sei quem eh mais chato, o Supla cover dd Billy Idol ou esse cover de Gentili ai? 
#TheNoite eh muito mais frmz",Hahaha dead that Piva is saying that does not recogni,"I don't know who's more boring, the Supla cover dd Billy Idol or this cover of Gentili ai? #TheNoite eh much more frmz",0
2022, maravilhosaaaaaa #AltasHoras,#MasterChefBR Salve Vitor please!!! ,It’s a good time.,-1
2023,#MasterChefBR cadê meu diazepan.,How can #EDeCasa reduce excessive olive storage,#MasterChefBR where my diazepan.,0
2024,A melhor peripécia ate agora do casal Licurgo e Germana foi o episodio da fuga dos escravos q ainda deixaram o casal no tronco #MaisVoce,Prison is perhaps the only place where women have total,The best periphery until now of the couple Lycurg and Germana was the episode of the escape of the slaves q still left the couple in the trunk #MaisVoce,0
2025,Prepara o coração. Agora que eu morro #MasterChefBR,We would like to see the singer and youtuber in #Th,Now that I die #MasterChefBR,0
2026,Gente! Esse povo não conhece a técnica de desfiar o frango na panela de pressão?! #MasterChefBR,ANY AN AFV VAI EMBORA AAAAA,People! this people don’t know the technique of wrapping the chicken in the pressure panel?! #MasterChefBR,-1
2027,Depois tenho que ver #MasterChefBR,"Jaja will start my love, my addiction in the for",Then I have to see #MasterChefBR,1
2028,TMJ  abóbora não jkkkkkkkkk #MaisVoce,"Ota could imitate Pato Donald, it is so hot #VideoShow",TMJ abobora not jkkkkkkk #MaisVoce,1
2029,"#MasterchefBR nao dou conta desse povo colocando coisas no prato apenas "" para dar cor"".",There are a lot of good people in this masterche,"#MasterchefBR I don't realize that people put things on the dish just ""to give color"".",1
2030,Medo Bobo 😍😍💕💕 #ConversaComBial #MaiaraeMaraisaNoBial ,I am my #MasterChef #MasterChefBR!!!,This is the first time I’m going to get to know what I’m going to do.,1
2031,"Tá fácil ficar lendo essas coisas no trabalho, sobre o #VideoShowAoVivo com a ",Only one #MasterChefBR now is a #MasterChef,"It’s easy to get reading these things at work, about #VideoShowAoVivo with the",1
2032,HOJE TEM #MasterChefBR AAAAAA 😍👍🏻😍👍🏻👏🏻👏🏻🙌🏻🙌🏻🙌🏻🙈🙈🙈🙈🙈😰😰😰😭😭,"Hello! , saudades of listening to sing Sam Alves in ,",Today I have #MasterChefBR AAAAAA 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,1
2033,"Na moral a Fátima Bernardes ta ficando entrona,chata igual o Faustão #VideoShowAoVivo",The #ConversaComBial today began 35 minutes after the,"In the morality, Fatima Bernardes is getting inside, like the Fauston #VideoShowAoVivo",-1
2034,Eu na vida Hahahhahahah vamos deixar de lado pq eu esqueci #encontro,Cara laughs a lot of the Aderlize’s face #Master,I in life Hahahahahahahah we'll leave side pq I forgot # Meeting,0
2035,"ultraje dando tchauzinho kkkkkkkkkkkk eu amo vocês
#TheNoite",#MasterChefBR This program only hungers me. #MasterChe,I love you I love you I love you I love you I love you I love you I love you I love you I love you,0
2036,"KKKKKKKKKKKKKKKKKKKK o nome da musica
#TheNoite",#PlayPlayAoVivoAoVivoAoVivoAoVivo,KKKKKKKKKKKKKKKK the name of the music #TheNoite,1
2037,Popular que quer ficar rico tipo eu #MasterChefBR,What delicious to update my table of memes #MaisVo,People who want to be rich like me #MasterChefBR,1
2038,#Encontro depois dizem q não vivemos em uma sociedade machista. Todo dia um macho escroto passando vergonha.,Becomes a #MasterChefBR,"“They’re not going to be able to do so, but they’re not going to be able to do so, they’re going to be able to do so, they’re going to be able to do so, they’re going to be able to do so, they’re going to be able to do so, they’re going to be able to do so.”",1
2039,"Hahaha morta que Piva tá dizendo que não reconhece Viviane quando ela tá normal hahaha
PasmanterEPivaNoMaisVoce
#MaisVoce",WHEN LOUÇA SE LAVA COM A MON AND,Hahaha dead that Piva is saying she doesn't recognize Viviane when she's normal hahaha PasmanterEPivaNoMaisVoce #MaisVoce,-1
2040,#MasterChefBR Salvem o Vitor please!!! 😭😭😭,It does not have a way Bial our country is the country of,#MasterChefBR Save the Vitor please!!!,-1
2041,#EDeCasa como diminuir a oliosidade excessiva?,Every week in Globo #Encontrol,How to reduce excess oil?,0
2042,´A cadeia é talvez o único lugar onde a mulher tenha total liberdade sexual´  #ConversaComBial,I wish to be on the end of the program. I wish to succe,'The chain is the only place where a woman has full sexual freedom' #ConversaComBial,1
2043,"Olá, ! Gostaríamos de ver a cantora e youtuber  no
#MaisVocê. Obrigada!  ","They think it is the jacaré, dancing the audience",We would like to see the singer and youtuber on #MaisVocê.,-1
2044,"#MasterChefBR
GRNTR COMO ASSIM UM DOS FAV VAI EMBORA AAAAAA 
O VITOR E A YUKO NÃO AAAAAAA",My rich little thing of love! is life!!!! #I,#MasterChefBR GRNTR ASIM ONE OF THE FAV WILL EMBORA AAAAAA THE WINNER AND YUKO NO AAAAAA,1
2045,"Jaja vai começar meu amorzão, meu vício em forma de programa #MasterChefBR",It is now!!!!! #MasterChefBR,"Jaja will start my abomination, my addiction in the form of #MasterChefBR program",1
2046,"Ota podia imitar o Pato Donald, é tão fofinho #VideoShowAoVivo",My video is passed!!!!!,"Ota could imitate Pato Donald, it’s so foffin #VideoShowAoVivo",0
2047,Tem muita gente boa nesse masterchef #MasterChefBR,"Nicolas Prattes's shelf #VideoShowAoVideo""",There are many good people in this masterchef #MasterChefBR,0
2048,Domingo farei panquecas de frango ao molho branco e pudim de leite condensado de sobremesa! Sou mto #MasterChef #MasterChefBR!!!,We want you too in #DomingoLegal and #Eliana We wa,Sunday I’ll make chicken pancakes to white flour and condensed dessert milk pudim! I’m mto #MasterChef #MasterChefBR!!!,1
2049,Só um #MasterChefBR agora,#I meet she is wonderful  best singer,Just one #MasterChefBR now,1
2050,"Olá! , saudades de ouvir cantando  Sam Alves no  , , #Encontro",#MasterChefBR,"Hello!, missing to hear singing Sam Alves no, #Meeting",-1
2051,O #ConversaComBial de hoje começou 35 minutos depois do horário divulgado no site da programação da Globo.,Thank you for showing my goddess Vivianne Pasmanter #Vi,Today’s #ConversaComBial started 35 minutes after the time published on the Globo programming website.,1
2052,Cara ri muito da cara da Aderlize  #MasterChefBR,The Victor who cut the finger was eliminated from #MasterChef,Face laughing a lot of the face of Aderlize #MasterChefBR,0
2053,"Esse programa só me dar fome.

#MasterChefBR",I can see the #TheNoite By the Open digital TV Chupa SIMBA,This program only makes me hungry. #MasterChefBR,0
2054,Ansioso para ver o #AltasHoras com as presenças de  e sua mãe! #VídeoShowAoVivo,If at this time of the championship the #masterchef,I am excited to see the #AltasHoras with the presence of and your mother! #VideoShowAoVivo,1
2055,Que delícia atualizar minha pastinha de memes #MaisVoce,What a beautiful  #TextsHours,What a delight to update my memes cake #MaisVoce,1
2056, Fica pro #MasterChefBR,Life should pass slowly...equal the regressive,Tagged with #MasterChefBR,1
2057,ALGUEM AVISA O QUERIDINHO AI Q LOUÇA SE LAVA COM A MÃO E N COM A ROLA #encontro,I loved it because I disgust when the people a,Someone warns the desire AI Q LOUÇA is washed with the hand and N with the role # Meeting,-1
2058,Não tem jeito Bial nosso País é o País dos Melhores Memes do Mundo. Até porque o Brasil é uma piada #ConversaComBial,From now on it starts #MasterChefBR and here at,There is no way Bial our country is the country of the best memes in the world. even because Brazil is a joke #ConversaComBial,0
2059,Marcos e Belutti ja tem crachá da Globo ne? Toda semana na Globo #Encontro,Fátima is my muse #VideoShowAoVivo,Marcus and Belutti already have a globe crack? every week on the globe #Encounter,1
2060," #ÊDeCasa &lt;3 Amo vcs!! Bjos Ana, Cissa e Andre e bom trabalho por aí! Estaremos juntinhos até o final do programa. Desejo sucesso",#MasterChefBR How is that antipathic Leo who is wear,"#EdeCasa &lt;3 I love vcs!! Bjos Ana, Cissa and Andre and good work there! We will be together until the end of the program.",-1
2061,"#AltasHoras quem é esse de preto, achando que é o jacaré, dançando na platéia as músicas do tchan kkkkkkkkk",#DomingoLegal Gustavo what beauty is this? .,"#AltasHoras who is that of black, thinking it is the jacaré, dancing on the plateau the songs of tchan kkkkkkkkkkk",1
2062,Minha coisinha rica de amor!  é vida!!!! #ÉdeCasa,hahah #Conversation with Bial.,It’s my life! it’s my life! it’s my life! it’s my life!!!,1
2063,É agora!!!!! #MasterChefBR,BERRO #AltasHoursHours,It is now!!! #MasterChefBR,-1
2064,#altashoras Passa o meu video  !!!!!,#Things that hurt my emotional!,#Altashoras Pass my video!!,-1
2065,Carinha de Nicolas Prattes #VideoShowAoVivo,Eh laughaaalto #conversacomBial,by Nicolas Prattes #VideoShow,-1
2066,  Queremos você também no #DomingoLegal e #Eliana,"Totia Meirelles is the Totia Meirelles, who appears in the clip",We want you also at #DomingoLegal and #Eliana,0
2067,#Encontro   ela é maravilhosa 😍 melhor cantora,Foods for free hj in #MasterChefBR,She is a wonderful singer.,-1
2068,"Que nojo do Vitor colocando o dedo no frango, lambe, põe no avental, lambe.. #MasterChefBR",The japanese colonia is yuko torn,"That nojo of Vitor putting the finger on the chicken, lambe, put on the avental, lambe.. #MasterChefBR",1
2069,Obrigada por mostrar minha deusa Vivianne Pasmanter #VideoShowAoVivo,They call her and do not even interview her. What a s,Thank you for showing my goddess Vivianne Pasmanter #VideoShowAoVivo,-1
2070,"Gente, o Victor que cortou o dedo foi eliminado do #MasterChefBR ?",The best thing was to recover in one minute from the distre,"People, the Victor who cut the finger was removed from #MasterChefBR?",1
2071,Posso vê o #TheNoite  Pela TV digital Aberta Chupa SIMBA," Music new Respirar, singing plmdds!",I can watch the #TheNoite by open digital TV,1
2072,"Se nessa altura do campeonato o #masterchefbr tá desse jeito, imagina no season finale","Carolina's daughter is the maturity in the form of people""","If at this time of the championship the #masterchefbr goes that way, imagine in the season final",1
2073,AAAAAAA Vanessa falando da aceitação dos cabelos naturais. Que lindo 💕 #AltasHoras,None of the eliminations hit me so much as that #MasterChefBR,AAAAAAA Vanessa speaking of the acceptance of natural hair. What beautiful 💕 #AltasHoras,-1
2074,A vida deveria passar devagarinho...igual a contagem regressiva da Ana Paula Padrão no #MasterChefBR,"Decepted with the #MasterChefBR staff, how did",Life should go slowly...like the regressive counting of Ana Paula Standard at #MasterChefBR,-1
2075,Fátima sendo pisada ao vivo. Amei pois detesto quando o povo está  falando e ela muda de assunto sem deixar a pessoa concluir.  #Encontro,"Hello, I would like to have Fiuk's participation in""",I love because I hate when people are talking and it changes the subject without leaving the person to finish.,0
2076,Daqui a pouco começa #MasterChefBR e aqui em casa não tem ingrediente pra fazer nem misto,"Please please want to see the backstage of Anna's""",From now on #MasterChefBR begins and here at home there is no ingredient to do or mix,0
2077,A Fátima é minha musa #VideoShowAoVivo,I could have replaced my person! Rs #AltasHo,Fatima is my musa #VideoShowAoVivo,-1
2078,Como assim aquele Leo antipático é q tá com avental de capitão? #MasterChefBR,Hitler also disarmed #TheNoite,How is that antipathic Leo with a captain avental? #MasterChefBR,-1
2079,#DomingoLegal Gustavo que beleza é essa? ,#MasterChefBR ,#DomingoLegal Gustavo what beauty is this?,1
2080," Maiara me emprega? hahah
#ConversaComBial.",Let me crush for favorrrrrrr #MasterChefBR,How do you work with me? #ConversaComBial.,-1
2081,a cara da garota BERRO #AltasHoras,"Sophia Abrahão in #altashoras is ""Intelligent Life in Madru",The Face of the Girl #AltasHoras,1
2082,"Enqto vc come um bom prato de batata doce com frango, a Namaria mostra doces, guloseimas, e afins. #Maisvoce ferrando com o meu emocional!",Today there is #MasterChefBR,"In fact you eat a good dish of sweet potato with chicken, Namaria shows sweets, guloseimas, and so on. #Maisvoce throwing with my emotional!",1
2083,"Não, o diabo é seu.  Eh risoaaalto  #conversacomBial",NOT IS THE GENT WHAT I PEDIUM #,"No, the devil is yours. #conversacomBial",-1
2084,"#VideoShowAoVivo 
Quem aparece no clipe do Guilherme Arantes, é a Totia Meirelles","I watch terrible things in Grey's Anatomy but""",Who appears in the Guilherme Arantes clip is Totia Meirelles,-1
2085,Comidas sem graça hj no #MasterChefBR,#conversacombialalalalalalalalconversacombialal,Free foods at #MasterChefBR,1
2086,#MasterChefBR pode não ter restaurante taliandes no BR mas a colonia japonesa é yuko torn,"It is very beautiful, it is not fair #Video",#MasterChefBR may not have a Taliand restaurant in the BR but the Japanese colony is yuko torn,1
2087,"Aff cadê a Vivianne Pasmanter? Chamam ela e nem a entrevistam.
Que bosta.
 #MaisVoce","If Léo had not entered the master chef, there wo",Where is Vivianne Pasmanter? they call her and don’t interview her.,-1
2088,😂😂😂 o melhor foi a  se recuperando em um minuto do susto e seguindo lindamente a matéria sobre tábuas!!!Kkk #EDeCasa ,#MasterChefBR,😂😂😂 the best was to recover in a minute of thirst and beautifully follow the matter on tables!!!Kkk #EDeCasa,1
2089," no #Encontro gostei! 💙👏
Música nova Respirar, canta plmdds!",This Guilherme Arantes is the guy #Control,"I like the music, I love the music, I love the music, I love the music, I love the music, I love the music, I love the music.",1
2090,"gnt, essa filha da Carolina é a maturidade em forma de gente, meu Deus #encontro",The day Ana does galeto does not call Tais Araújo #Mais,"Gnt, this daughter of Carolina is the maturity in the form of people, my God",0
2091,Nenhuma eliminação me abalou tanto igual essa #MasterChefBR,", what would stop inviting Youtubers to #E",No elimination shocked me as much as this #MasterChefBR,-1
2092,Como assim ninguém fez prato com Cupuaçú? Decepcionado com o pessoal do #MasterChefBR,#ConversationBial,How did no one make a dish with Cupuaçu? disappointed with the staff of #MasterChefBR,-1
2093,Olá  gostaria da participação do Fiuk no #AltasHoras. Obrigada!,They singing and Sophia showing the look in #VideoShowA,Hello I would like to participate in Fiuk on #AltasHoras.,1
2094," por favor queria muito ver os bastidores da cena do parto de Anna
#VideoShowAoVivo",#PlayPlayPlayPlayPlayPlayPlayPlayPlayPlayPlayPlayPlayPlayPlayPlayPlayPlay,Please I really wanted to see the backgrounds of Anna's birth scene #VideoShowAoVivo,0
2095,Bela Gil agora humilhou geral com essa revelação da participação no clip do Tchan! Poderia ter substituído pela minha pessoa! Rs #AltasHoras,Ana I eat abobora calls me to eat kkkk #,Bela Gil now humiliated general with this revelation of participation in the Tchan clip! could have been replaced by my person!,1
2096,"O genocida Stalin disse uma vez que se não deixavam os inimigos terem ideias, por que deixariam ter armas? Hitler desarmou também #TheNoite",KKKKKKKKKKKKKKKKKKK,"The genocide Stalin once said that if they didn’t let the enemies have ideas, why would they let them have weapons?",0
2097,Melhor parte da terça: #MasterChefBR 😍,#ConversaComBial,The best part of Tuesday: #MasterChefBR,-1
2098,Deixa meu crush por favorrrrrr #MasterChefBR,The #ConversaComBial and #MasterChefBR AINDA has,Leave my crush by favorrrrrr #MasterChefBR,-1
2099,"  Sophia Abrahão no #altashoras é ""Vida Inteligente na Madrugada"" 💖 
#soseiamar",Victor V is very crush #MasterChefBR,"Sophia Abraham on #altashoras is ""Intelligent Life in the Madrugada""",1
2100,Sorte do dia: hoje tem  #MasterChefBR,#TheNoite,Fate of the day: today has #MasterChefBR,0
2101,vitor b eliminado NÃO FOI A GENTE QUE PEDIU #MasterChefBR,The scene of the police hit in the community was very,The eliminated vitor b was not the people who asked for #MasterChefBR,1
2102,Assisto coisas terríveis em Grey´s Anatomy mas tenho aflição de parto #AltasHoras,Vítor louco e cafajeste  #MasterChefBR,I'm watching terrible things in Grey's Anatomy but I'm suffering from birth #AltasHoras,1
2103,Padre Fábio é maravilhoso! #conversacombial,The #MasterChefBR  ,Father Fabius is wonderful! #conversacombial,1
2104,"paolla oliveira é muito linda, não é justo  #VideoShowAoVivo","I'm DALTÔNIC FOR RATIONS ... I'""","Olive paolla is very beautiful, it’s not fair #VideoShowAoVivo",1
2105,"Se o Léo não tivesse entrado no master chef não faria diferença 
#MasterChefBR",A national pride ❤ #conversacombial,If Leo hadn’t entered the master chef would not make a difference #MasterChefBR,1
2106,VAAAAAAAMOS TEAM AZUL #MasterChefBR,"There is a priest who talks well, it is difficult to",We are the blue team #MasterChefBR,1
2107,"Esse Guilherme Arantes é o cara 
#Encontro",This #Conversation-Bial that is insous program... only,This Guillerme Arantes is the guy #Encounter,-1
2108,no dia que a Ana faz galeto não chama a Tais Araújo #MaisVoce,This master sent promises #TheNoite #TheNoite,In the day that Ana makes gallet doesn't call Tais Araújo #MaisVoce,1
2109,", que tal parar de convidar Youtubers para o #EDeCasa para chamá-los apenas de blogueiros só p/ ñ divulgar os canais deles?",A TUDING OF HOMEM QE PQP ❤ #,What does it mean to stop inviting Youtubers to #EDeCasa to call them just bloggers just p/ ñ to disclose their channels?,1
2110,Entao quem Tem Mais de 45 anos Nao Pode ser inovador politicamente  ? #ConversaComBial,Today there is #MasterChefBR uhu,I know who is over 45 Can't be politically innovative? #ConversaComBial,1
2111,"Eles cantando e Sophia mostrando o look no #VideoShowAoVivo foi muito lindo! 
#VídeoShowComSophia",Do you know what it means here in Rio Grande Do Sul?,They sing and Sophia showing the look on #VideoShowAoVivo was very beautiful! #VideoShowComSophia,0
2112,"Nossa, nunca acertaria que a convidada disfarçada de hoje era a Fátima Bernardes! #VídeoShowAoVivo","Carol Duarte c a Marcela , only people I love hj","Our, I would never be right that today's disguised guest was Fatima Bernardes! #VideoShowAoVivo",1
2113,Ana eu amo abobora me chama para comer kkkk #Maisvocê,What of the two anchors do you think q is the best,Ana I love abobora calls me to eat kkkk #Maisvocé,0
2114,"KKKKKKKKKKKKKK JA DEU AQUELA BULINADA NA JU
#TheNoite",It is interesting and high intellectual level with #Conversation,KKKKKKKKKKKJJJJJJJJJJJJJJJJJJJ,1
2115,"""Toda mulher é prisioneira!"" #ConversaComBial",#Encontro fatima would accept her daughter whi,“Every woman is a prisoner!” #ConversaComBial,0
2116,Acabou o #ConversaComBial e o #MasterChefBR AINDA NÃO ACABOU...,"It's not just lamenting #ThingsHours""",The #ConversaComBial is over and the #MasterChefBR is not over.,-1
2117,Victor V é muito crush #MasterChefBR,"I'll get very sad if Vitor leaves, my pre""",Victor V is very crush #MasterChefBR,-1
2118,"Mas só a  pra completar os desafios do Mestre Mandou!!
#TheNoite",Today is the day of #MasterChefBR,But only to complete the challenges of the Master Mandou!! #TheNoite,1
2119,Paolla Oliveira está muito bem nesse papel! A cena da batida policial na comunidade foi muito real! #VideoShowAoVivo,"Hello, I would like to have Fiuk's participation in""","It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do.",0
2120,Vítor louco e cafajeste 😍😍😍😍😍 #MasterChefBR,Morri d rir con namaria painting the hair of the doll,"It’s a good thing to do, but it’s a good thing to do.",1
2121,Ja já começa a prévia do #MasterChefBR  😍,But this time I was twisting for blue ,This is the beginning of the #MasterChefBR.,0
2122,#Encontro  ... SOU DALTÔNICO PARA RAÇAS ...,Amoo  #TheNoite,I am a Daltonic for Races.,1
2123,"Rodrigo Santoro pleno e maravilhoso. Um orgulho nacional ❤
#conversacombial","When they call her to go to #AltasHours, when","This is the most important part of the world, and it is the most important part of the world.",0
2124,"Eita padre que fala bem, fala difícil de entender uma hora dessa, mas é muito inteligente  #ConversaComBial",#MasterChefBR,"Eita priest who speaks well, speaks hard to understand an hour of this, but is very intelligent #ConversaComBial",1
2125,Esse #ConversaComBial que programa insosso...só tem grife.,"I loved to wear clothes, but this iron of",This #ConversaComBial that program unnoticed...this only has grip.,1
2126,"KKKKKKKKKK esse mestre mandou promete
#TheNoite",Saturday day 30 May! best news,KKKKKKKK this master sent a promise #TheNoite,1
2127,"MALUMA É UM TUDINHO DE HOMEM QE PQP ❤
#TheNoite",I ask you every day questions dan estubat ,Maluma is a whole of man QE PQP ❤ #TheNoite,0
