,tweets_original,tweets_translater_unicamp,tweets_translater_face
151,Daqui a pouco tem #MasterChefBR e #PowerCoupleBrasil e já q não tem nada melhor pra fazer vamos comentar aqui!,From now on there is about #MasterChefBR and #Po,Soon we have #MasterChefBR and #PowerCoupleBrasil and now q has nothing better to do let’s comment here!
152,"Daqui a pouco às 13hrs, começa o Domingo Legal com elenco de CDA e  fará para do time roxo 💜 #CDANoDomingoLegal #DomingoLegal","By now at 13.00 a.m., Domingo Legal starts with","This is the first time I’m going to do this, and I’m going to do this."
153,Muito bom Padre Fabio de Melo na #ConversacomBial,Father Fabio de Melo in #ConversacomBial,Father Fabio de Melo at #ConversacomBial
154,Será que ravióli de sardinha em conserva fica bom? Vou tentar fazer isso em casa. #MasterChefBR,"I'm trying to do this at home. #MasterChe""",Would it be a good thing for me? #MasterChefBR I’ll try to do it at home.
155,#VideoShowAoVivo saudades do Wando! Que nostalgia!,I miss Wando! What nostalgia!,I am missing Wando! what a nostalgia!
156,"Caraca, um imbecil machista falou um monte de basta no #encontro",A imbecil sexism spoke a lot of enough in #,"A crazy machist, Caraca, talked a lot of enough at the #touch"
157,"Queria uma bike, sdds 
#MaisVoce","We wanted a bike, sdds #MaisVoce","I wanted a bike, sdds #MaisVoce"
158,"Eu quero esse ""SAI FOFOCA"" #VideoShowAovivo","I want this ""I want this ""I want thi",I want that “SAI FOFOCA” #VideoShowAovivo
159,Fabrizio entre os melhores mas o melhor é a cara de inveja da dona Miriam #MasterChefBR,The best but the best is the envy face of Mr. Miriam #Master,Fabrizio among the best but the best is Mrs. Miriam's jealous face #MasterChefBR
160,A PAOLA TA MUITO EUUU #MasterChefBR,The PAOLA TA MUITO EUUU #MasterChef,It’s a great deal #MasterChefBR
161,eu sou pau rodado kkkj #VideoShowAoVivo,I am pau rodado kkkj #VideoShowAoVivo,I am pau rounded kkkj #VideoShowAoVivo
162,"Lua maravilhosa, segue normal #Encontro","The wonderful moon, follows normal #Encontrol #En","Wonderful moon, follow normal #Meeting"
163,"#EDeCasa ele é mais baixo, logo o Centro de Gravidade fica próximo ao chão então fica mais difícil cair",So the Severity Center is close to the floor so it is more,"#EDeCasa it is lower, as soon as the Gravity Center is close to the ground so it becomes harder to fall"
164,"Gosto muito da Fatima Bernardes,😍😍
#VideoShowAoVivo","I like fatima Bernardes a lot, #VideoShowAo","I like Fatima Bernardes, 😍😍 #VideoShowAoVivo"
165,"A maquiagem da Ana Maria hoje tá parecendo que foi eu que fiz, horrível! #MaisVoce",The makeup of Ana Maria today is seeming to have been me,"The makeup of Ana Maria today looks like it was me, horrible! #MaisVoce"
166," me dá essa brusinha, o bicha maravilhosa essa mulher #VideoShowAoVivo",The wonderful bitch this woman #VideoShowA,"It’s a good thing to do, it’s a good thing to do, it’s a good thing to do, it’s a good thing to do."
167,se fosse eu eu ia fazer macarrão com sardinha enlatada kkkkkkkk #MasterChefBr,If I were I would make pasta with sauced sardine k,If it were me I would make macarron with enlated sardine kkkkkk #MasterChefBr
168,#MasterChefBR hj a luta vai ser boa!,The fight will be good!,#MasterChefBR hj the struggle will be good!
169,"Todo mundo segurando  
🕺🕺🕺
#AltasHoras",Everyone holding  #Hostings Everyone holding,Everyone keeps  #AltasHoras
170,"E lá se foi mais um crush do Masterchef 💔
#MasterChefBR",And there was another crush of Masterchef  #MasterChe,And there was another crush from Masterchef  #MasterChefBR
171,"Quando nossos recursos chegam ao fim, os recursos de Deus estão todos disponíveis.#SextaDetremuraSDV #MaisVoce #NoisEhFeioMais","When our resources arrive at the end, God's""","When our resources come to an end, God’s resources are all available.#SextaDetremuraSDV #MaisVoce #NoisEhFeioMore"
172,#MaisVoce Eu quero esse pijama da Ana Maria 🦄😍,#ByVoce I want this pijama from Ana Maria ,I want this pyjama from Ana Maria.
173,"Depois do escândalo do Temer e Aécio, Ana Maria Braga vestida de unicórnio é a pior coisa que você vai ver hoje.
#MaisVoce","#Three-year-old girls, after the scan","After the scandal of Fear and Aécio, Ana Maria Braga dressed in unicorn is the worst thing you’ll see today."
174,"Quero um simpatia pra #robertocarlos me receber no camarim. Fui  show aqui, e nao deu certo mesmo estando bem pertinho dele #videoshowaovivo","I was a concert here, and it didn't work e""","I want a sympathy for #robertocarlos to receive me in the room. I went show here, and didn't go right even being well relevant to him #videoshowaovivo"
175,Que roupa é  essa Tie? #Encontro,#Control What clothes are this Tie? #Contro,What kind of clothes do you wear?
176,Nossa! A Sandy está num nível de beleza que só Jesus. Chega a ser um insulto com a população desprovida disso #Encontro,Sandy is at a beauty level that just Jesus. It is an insu,Our! Sandy is at a level of beauty that only Jesus. It comes to be an insult with the population unprovided of it #Meet
177,"Orquídea lembra o filme da Anaconda e a orquídea sangrenta, tipo.. 
#encontro",#meetings,"Orkide recalls the movie of the Anaconda and the Blood Orchid, type."
178,#ConversaComBial E BEBO DOBRADO OUVINDO UM MODAO,#ConversationCombined and BEB DONATE OUVENDE,#ConversaComBial and Bebo Dobrado Listen to a Fashion
179,Quando a mulher vai presa grávida fica com a criança até 6 meses depois o filho vai morar com algum parente ou pra adoção #ConversaComBial,When the woman is arrested pregnant she stays with the,When the woman gets pregnant stay with the child up to 6 months after the child will live with some relative or for adoption #ConversaComBial
180,"Catra vai ser pai again, novidade nenhuma kfjfondpzmdldmdl
#TheNoite","Catra vai ser pai again, novidade nenhuma kfjfondpzm","Catra will be father again, no news kfjfondpzmdldmdl #TheNoite"
181,Que confusão essa essa prova #MasterChefBR,What confusion this test is #MasterChefBR What confu,What confusion this test #MasterChefBR
182, é o cara! Toda sexta fica mais linda ouvindo as poesias dele! #Encontro,Every Friday is more beautiful listening to his poems,Every Friday it becomes more beautiful by listening to his poems!
183,"sardinha é uma das 7 maravilhas do mundo, com espinha e tudo #masterchefbr","Sardine is one of the 7 wonders in the world, with spin","Sardinia is one of the 7 wonders of the world, with spine and everything #masterchefbr"
184,Tem uma menina parecida com a Vitória do Anavitória no Altas Horas hsjshshs #AltasHoras,There is a girl like the Vitória do Anavitória no Altas Horas h,You have a girl like the Victory of Anavitoria at High Hours hsjshs #High Hours
185,#AdoçãoTardia temática importantíssima em ser levantada. #Encontro parabéns!,I would like to congratulate you!,This is a very important theme to be lifted up. #Gratulations!
186,To achando q o problema é o avental azul #MasterChefBR,I thinking that the problem is the blue apron #,To find q the problem is the blue avental #MasterChefBR
187,"Fátima cortando o convidado do #Encontro medinho de gongarem a globo, que deselegante!",Fátima cutting the guest of #I meet medinho to slaugh,"Fatima cutting the guest of the #Meet Mean to gongar the globe, what diselegant!"
188,"Hoje o papo do  é com o , não dá pra perder!  #Carcereiros #ConversaComBial","Today the chat of is with , you cannot lose! #Carcers","It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do."
189,"Maluma é muito lindo!
😱😍
#vivaoslatinos
#TheNoite", #vivaoslatins #TheNoite is very beauti,It’s very nice! 🙂 🙂 #vivaoslatinos #TheNoite
190,"Pode entrar, MARISA, E MARAIARA #ConversaComBial","You can enter, MARISA, AND MARAIARA #Conversation","You can enter, MARISA, and MARAIARA #ConversaComBial"
191,"#TheNoite 

KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK MANOOOOOOOOO",KKKKKKKKKKKKKKKKKKK,The night KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
192,miriam tem fazendo hora extra no programa já #MasterChefBR,My laughter is doing more hours in the program already #,Miriam has done extra time in the #MasterChefBR program already
193,Se fosse a Fátima teria convidado só global q apoiou Aecio kkkkk #Encontro,"If it were Fátima, it would have invited only global",If it were Fatima would have invited only global q supported Aecio kkkkk #Meet
194,"#VideoShowAoVivo  sendo Tio, corrigindo (cortando) o   kkkk #épico","I live with Tio, correcting (cutting) the kkkk","#VideoShowAoLive as a Son, Correction (cutting) the kkkk #epic"
195,Eu sou assim kkk n consigo falar nd q sinto 😂 #Encontro,I am like this kkk I cannot speak nd,I am so kkk n can speak nd q feel 😂 #Meet
196,"A linda da  no #AltasHoras 😊O programa tá show!",The beautiful da no #AltasHours  The program is show,This is the great show of the show!
197,É o tchan no #altashoras ❤️❤️❤️,"It's the tchan in #high-hours ❤️❤️""",It is the tchan on #altashoras ❤️❤️❤️
198,"Consolidados - GLOBO (15/05):

#AForçaDoQuerer 31.9
#OsDiasEramAssim 22.4
#TelaQuente 15.8
#JornalDaGlobo 9.2
#ConversaComBial 7.4",#AForçaDoQuerer 31.9 #OsDiasEramAssim,Consolidated - GLOBO (15/05): #AForçaDoQuerer 31.9 #OsDiasEramAssim 22.4 #TelaQuente 15.8 #JornalDaGlobo 9.2 #ConversaComBial 7.4
199,O cara que mais joga sujo falando sobre o que é justo ou não.  Difícil aturar esse Leonardo. #MasterChefBR,It is hard to snake Leonardo. #MasterChefBR,The guy who plays most dirty talking about what’s right or not.It’s hard to stop this Leonardo. #MasterChefBR
200,Não posso com esse programa me dá um desespero pqp #EquipeAzul #MasterChefBR,I cannot with this program give me a desperation pqp #,I can't with this program gives me a despair pqp #EquipeAzul #MasterChefBR
201,"Aí que agonia essa Marian, meu Deus do céu, mulher!! #MasterChefBR","That's what agony this Marian, my God of he""","So that agony this Marian, my God of heaven, woman!! #MasterChefBR"
202,SOCORRO QUE NERVOSO VAI TOMAR NO CU #MasterChefBR,WHERE THE NERVOUS SOCORER IS T,The help that the nervous will take on #MasterChefBR
203,A Ana arrasou! Parecia a mais perdida #MasterChefBR,Ana ran out! She seemed the lost #MasterChefBR,It looked like the most lost #MasterChefBR
204, hoje as duas equipes estão na luta agora basta saber qual será nocauteada. #MasterChefBR,#MasterChefBR,Today the two teams are in the struggle now just know which will be nocauteed. #MasterChefBR
205,"Preciso ler este livro! :D Adoro novela! XDSaudades #RoqueSanteiro #Encontro",I love this novel! XD Saudades #RoqueSanteiro,I need to read this book! :D I love the novel! XD Congratulations #RoqueSanteiro #Encounter
206,Acordei agora insatisfeita com o resultado do #MasterChefBR,I wake up now unsatisfied with the result of #Master,I am now unhappy with the #MasterChefBR result
207,As senhoras tão se achando as SABIDONAS do ferro de passar. Kkkkkk #maisvoce,Kkkkkk #maisvoce,The ladies so find the wisdom of the iron to pass. Kkkkkk #maisvoce
208,"#videoshowaovivo Nanda Costa lacrando na próxima das 19h00!!!! Adoooooro!!! Nossa eterna heroína de ""Salve Jorge""!!!! 💋💋💋💋💋💋💋❤❤❤❤❤❤❤❤","Our eternal heroine of ""Salve Jorge""!!!! ❤❤","I'm not sure if I'm going to be a good guy, I'm going to be a good guy, I'm going to be a good guy, I'm going to be a good guy, I'm going to be a good guy."
209,mal começou o programa e eu já tô chorando #AltasHoras,"I'm crying #AltasHorasHorasHorasHorasHoras""",It’s hard to start the program and I’m already crying #AltasHoras
210,Braulio sempre com suas poesias 😍 #Encontro,Braulio always with his poems  #Encontrol Bra,Braulio always with his poems
211,"Tá errado  o Victor não fez a prova pq ele se machucou, não foi um fator externo. Injusto com o Abel. #masterchefbr",It is wrong Victor did not take the test because he,"That's wrong Victor didn't prove pq he wounded himself, it wasn't an external factor."
212,"#ConversaComBial
Ansiosa pra assistir a conversa de hoje sobre política. Começa logo",Starts soon after the conversation on politics.,#ConversaComBial Anxiosa to watch today's talk about politics.
213," Bora melhorar as pesquisas sobre a cultura paraense, a DINDIN aqui é dinheiro! sacolé = chopp  #VideoShowAoVivo",The DINDIN here is money! sacolé = chopp #Vide,"Bora improve the research on paranoid culture, DINDIN here is money! sacolé = chopp #VideoShowAoVivo"
214,#AltasHoras apareceu o índice de morte na minha cidade tô muito assustado #BelemPedePaz,I am very scared #BelemPedePaz,#AltasHoras appeared the death rate in my city I'm very scared #BelemPedePaz
215,O Tchan já pode substituir a morena pela Bella Gil! #AltasHoras,#AltasHours,Tchan can now be replaced by Bella Gil!
216,Rafael ainda nem nasceu e já escuta  #anjo #40semanas #EDeCasa,Rafael is still not born and hears #anjo #40week,"I'm not sure I'm going to do it, I'm not sure I'm going to do it."
217,"#ConversaComBial, até que enfim um excelente programa de entrevistas na TV aberta. 👍","Finally, an excellent interview program on open TV has been","#ConversaComBial, until it ends with an excellent TV interview program."
218,"Amei o Nelson Xavier em Tenda dos milagres, estou lendo o livro de Jorge Amado.#videoshowaovivo","I'm reading the book of Jorge Amado.#videoshowaov""","I loved Nelson Xavier in Wonderland, I’m reading the book by Jorge Amado."
219,Estava assistindo #MasterChefBR agr no yt e gente..a da Mirian tava ridicula parecia comida dos meus priminhos td misturado devia ter saido,"Mirian's watching #MasterChefBR agr no yt""",I was watching #MasterChefBR agr on yts and people..a of Mirian tava ridicula seemed food of my primicles td mixed had to have gone
220,"Amava Sexo Frágil!!! Essa risada da ""irmã"" do Lázaro Ramos era muito boa! #VideoShowAoVivo","This laugh of Lázaro Ramos\' ""sister"" was very good! #",I loved Fragile Sex!!! that laughter of Lazarus Ramos was very good! #VideoShowAoVivo
221,Felizmente Deborah a salvo #MasterChefBR,Fortunately Deborah a safe #MasterChefBR #MasterChefBR,Fortunately Deborah saved #MasterChefBR
222,"  Isso  pede o fôlego e volta pra casa, pois ninguém mais aguenta você! #MasterChefBR",#MasterChefBR,This requires breath and returns home because no one else can withstand you! #MasterChefBR
223,"A mãe do Serginho! ❤❤❤❤
#AltasHoras",The mother of Serginho!❤❤❤❤ #AltasHours,The Mother of Sergey! ❤❤❤❤
224,"#TheNoite  o melhor quadro, Mestre mandou .","The Best table, Master sent .","The Night the Best Picture, Master sent."
225,É o Tchan é minha religião #altashoras,Tchan is my religion #high hours,It's Tchan is my religion #altashoras
226,Sofia linda esse seu batom tá show e Joaquim como sempre lindo bjusss da paraiba #VideoShowAoVivo,Sofia linda this your liptom is showing and Joaquim as alway,Sofie beautiful this her batom ta show and Joaquim as always beautiful bjusss of paraiba #VideoShowAoVivo
227,Vitor B é muito bebezinho   #MasterChefBR,Vitor B is very little little little #MasterChefBR,Vitor B is very baby #MasterChefBR
228,Não consigo olhar para a Sandy  e imaginar ela peidando!! #Encontro,I cannot look at Sandy and imagine her peidating!! #I me,I can't look at Sandy and imagine her painting!!
229,Amanhã nossa amada  no #AltasHoras com ,Tomorrow our dear in #Hostings with this girl,Tomorrow our loved one at #AltasHoras with
230,"Bixinho do  estava torcendo por ele, 💋 gato #MasterChefbr","Bixinho was tortuzing for him,  cat #Ma","Bixinho of the was turning for him, <unk> cat #MasterChefbr"
231,"O papai chegou HAHAHA #MrCatra 
#TheNoite",The father arrived HAHAHA #MrCatra #TheNo,The father arrived HAHAHA #MrCatra #TheNoite
232,Esse sotaque da Lucero me mata tanto 😭 #DomingoLegal,This accent of the Lucero kills me so much  #Doming,This accent of Lucero kills me so much #DomingoLegal
233,Lais Souza e muito linda #AltasHoras,Lais Souza and very beautiful #AltasHours,Lais Souza and very beautiful #AltasHoras
234,E esse branco falando sobre racismo? Preguiça #Encontro,The white talking about racism? Laziness #Contro,What about this white talking about racism?
235, o  tah no pgm do !!! #conversacomBial,#conversacomBial,I'm going to go to the pgm of the!!! #conversacomBial
236,Melhor programa #altashoras começando com #éotchan se eu amo? 💗💗💗,Better program #high hours starting with #éotchan if,Best #altashoras program starting with #eotchan if I love?
237,Que fofas a Maiara e Maraísa gente!Lindas cantando Elis Regina Como nossos pais.Lindamente cantaram #ConversaComBial,Lindas singing Elis Regina As our parents.Lindas,What fofas to Maiara and Maraísa people!Lindas singing Elis Regina As our parents.Lindas singed #ConversaComBial
238,Eu ligo agora no #MasterChefBR e estão logo fazendo comida da minha terrinha. Que saudade.,I call now on #MasterChefBR and they are just,I am now calling at #MasterChefBR and they are soon making food from my land.
239,"O prato do  tava tão legal, meu!#MasterChefBR","The prato do tava was so cool, my!#MasterChef","The dish of the tava so delicious, my! #MasterChefBR"
240, Coitada da Taís Araújo!!! 🍲😂😂😂🍲Kkkkkkk #MaisVocê,"Taís Araújo's work!!! Kkkkkkk #""",This is the first time I’m going to get to know what I’m going to do.
241,"Dêem os parabéns ao  pelo seu dia, pois hoje é dia do Zootecnista! 👏👏👏
#ÉDeCasa #EDeCasa","Congratulations for your day are given, as today is the","Congratulations on your day, for today is the Zootechnist’s day! #EdeCasa #EDeCasa"
242,Ahhh vai começar uhuuu😍😍👏🏼👏🏼👏🏼👏🏼👏🏼💜💜  #MaiaraeMaraisaNoBial #ConversaComBial,Ahhhh will start uhuuu #Maiarae,"This is the first time I’m going to do it, and I’m going to do it."
243,"o Mestre mandou é o melhor quadro velho kkkk 

#TheNoite",The Master sent is the best old square kkkk #The,The Master sent is the best old picture kkkk #TheNoite
244,"#VideoShowAoVivo
Fátima linda como sempre 😍👏👏👏👏",,I'm so happy to live as always 😍😍😍😍
245,"Acho que o Victor B roda hoje!
#MasterChefBR",#MasterChefBR,I think Victor B runs today! #MasterChefBR
246,"Pensei que você pegadinha

#Encontro","I thought you'd get a footprint #I think you""",I thought you got to #Meet
247,Tô passada pra quanto essas moças são corrompidas pelo machismo e defendem sua femilidade como se fossem feministas #ConversaComBial,"I've been told how these girls are corrupted""",I'm sorry how much these girls are corrupt by machism and defend their femility as if they were feminists #ConversaComBial
248,As azaléias podem virar árvores? #EDeCasa,#EDeCasa,Can Azalea turn trees? #EdeCasa
249,é claro que é a Dani Calabresa #videoshowaovivo,"Of course, it is the Dani Calabresa #videoshowaov",It is clear that it is Dani Calabresa #videoshowaovivo
250,Vivian vai ser chamada nos próximos dias para fazer um teste para o #VideoShowAoVivo,Vivian will be called in the next days to do a test for,Vivian will be called in the coming days to make a test for #VideoShowAoVivo
251,imagina que top ser filha da Fátima Bernardes e do William Bonner #encontro,"If you are a daughter of Fátima Bernardes and William Bonner, you",Imagine top to be the daughter of Fatima Bernardes and William Bonner
252,Eu tô com medo que o Douglas saia :( #MasterChefBR,#MasterChefBR,I'm afraid that Douglas goes out :( #MasterChefBR
253,História bêbada do  hj kkkkk #TheNoite,TheNoite,The Drunk Story of hj kkkkk #TheNoite
254,AI CARALHO TO MTO NERVOSA #MasterChefBR,#MasterChefBR,AI CARALHO TO MTO NERVOSA #MasterChefBR
255,"#VideoShowAoVivo outra coisa jocaota. tem brilho, tem graça amoooo","It is bright, it is funny amoooo","It’s a good thing to do, it’s a good thing to do, it’s a good thing to do."
256,"#VideoShowAoVivo O da Mariah tá ridículo, o short está torto?",Is the short slaughtered?,"It’s a good thing to say, it’s a good thing to say, it’s a good thing to say, it’s a good thing to say."
257,#thenoite   Palmito do cú rosê,Palmito do cú rosê,Thenoite Palmito of the Red Cube
258,"  
Plenitude. estado do que é inteiro, completo
Pra mim essa palavra define 
Nelson xavier 

#VídeoShowAoVivo","state of what is integer, complete For me this w","Fullness. state of what is whole, complete For me this word defines Nelson xavier #VideoShowAoVivo"
259,Meu amigos que foram pra Tailândia fizeram aula pelo canal da  ... #MasterChefBR,My friends who went to Thailand had class by the chan,My friends who went to Thailand took a class through the #MasterChefBR channel.
260,Pedro Bial entrevistou o Lauro Jardim... ele deu uma mini aula de apuração.  Amei! #conversacombial,I loved it! #conversacombial,Pedro Bial interviewed Lauro Jardim... he gave a mini-class of hardening. #conversacombial
261,Kd a turma do #MasterChefBR? Tô com saudade       ???,"I'm missing ???""",Kd the group of #MasterChefBR? you miss???
262,#VideoShowAoVivo é a Fátima Bernardes c certeza😁😀😘😘,Fátima Bernardes is sure to be a Fátima Bernardes c certainty,"I'm not sure I'm going to be a good guy, I'm not sure I'm a good guy."
263,Não entendo esses jurados do  querem e cobram criatividade de TDS menos da Yoko #MasterChefBR #xenofobia,"I don't understand these critics of the want and""",I don't understand these jury of what they want and collect TDS creativity less than Yoko #MasterChefBR #xenofobia
264,MINHA SERIEEEEE #TheNoite,WINE WINE WINE WINE WINE WINE WINE WINE WINE W,My Series #TheNoite
265,Hoje  estará no programa #AltasHoras Linda como sempre 😍,Today it will be in the #AltasHoras Linda program as always ,Today you will be in the #AltasHoras Beautiful as always.
266,"Cara vendo ontem #ConversaComBial chego à conclusão: tem alguém que ainda não ame ? 
Cara, elas vêm pra PG e ñ posso ir 😢😢😢",I arrive at the conclusion: does there anyone w,"I'm not sure if I'm going to get a big deal, but I'm not sure if I'm going to get a big deal."
267,"Tá rolando um boato que a Ana Luiza seria Profissional,isto procede  se for quero o Vitor B de volta pra ontem. #masterchefBR",#masterchefBR,"It’s going to be a rumor that Ana Luiza would be Professional, this happens if I want Vitor B back yesterday. #masterchefBR"
268,"Aqui em Goiás galinhada pede milho verde, e se tiver pequi fica melhor ainda.
Amo.
#MasterChefBR",I am. #MasterChefBR,"Here in Goiás chicken asks for green corn, and if you have peci becomes even better. #MasterChefBR"
269,Confesso q nao sei qm eu qro q saia hj. Vcs despedaçaram meu coração. #MasterChefBR,They have shed my heart. #MasterChefBR,I admit q don't know qm I qro q saia hj. Vcs broke my heart. #MasterChefBR
270,Cara que saudades da Hebe. Pqp. #maisvoce,Cara que saudades da Hebe. Pqp. #maisvoce Cara que saudade,You are missing Hebe. pqp. #maisvoce
271,.  no #MaisVoce 😍 Ô homem maravilhoso,#MaisVoce  Ô homem maravilhoso . no #Ma,#MaisVoce 😍 Oh wonderful man
272,"Queria experimentar a tal ""sardinhada"". rs #MasterChefBR",rs #MasterChefBR,"I wanted to experience such a ""sardine"". rs #MasterChefBR"
273,Tá quaseeeee 😍 #MaiaraeMaraisaNoBial #ConversaComBial  ,It is almosteeeeee  #MaiaraeMaraisaNo,"It’s a good thing to do, but it’s a good thing to do."
274,"#videoshowaovivo
""Guardar mágoa é tomar veneno e esperar que outra pessoa morra"".
Mas o mais prazeroso é gostar muito de tomar o veneno!",But the most pleasurable thing is to like to take,"#videoshowaovivo ""To keep sorrow is to take poison and wait for another person to die."" But the most pleasant thing is to like much to take poison!"
275," E eu amo tua presença nesse programa, sua linda! #MasterChefBR",#MasterChefBR,"And I love your presence in this program, your beautiful! #MasterChefBR"
276,"O Brasil é um lugar que entre as hashtags #LulaEuConfio  e a do moro orgulho brasileiro, tem a #MasterChefBR. Somos versáteis rs","Brazil is a place that, among the hashtags #LulaEu","Brazil is a place that between the hashtags #LulaEuConfio and that of the Brazilian pride, has the #MasterChefBR."
277,POXA VITOR #MasterChefBR,#MasterChefBR,Posts Tagged #MasterChefBR
278,"My new list do #MasterChefBR :
1 Yuko
2 Ana Luiza
3 Fabrizio
4 Nayane
5 Victor V.

PELO AMOR DE DEUS TIREM O LEONARDO Q CARA CHATO SOBERBO",BY THE AMOR OF THE MUST TIREM T,My new list of #MasterChefBR : 1 Yuko 2 Ana Luiza 3 Fabrizio 4 Nayane 5 Victor V. Through God's Love Take the Lion Q CARA CHATO SOBERBO
279,Tenho muita vontade de trocar uma ideia com o  alguma vez na vida. #ConversaComBial,#ConversationCombined,I have a great desire to exchange an idea with ever in my life. #ConversaComBial
280,"Se eu fosse apresentador, acho que adoraria trabalhar em um cenário igual ao #ÉDeCasa... super agradável, tudo integrado com áreas externas","If I were a presenter, I think I would lo","If I was a presentator, I think I would love to work on a scenario similar to #EDeCasa... super pleasant, all integrated with external areas"
281,"Pra me ganhar de vez: VIAVIANE FAZ PLANILHAS, É NERD, ESTUDAAAAAA, ATRIZ DE VERDADE, SE ORGANIZA
PasmanterEPivaNoMaisVoce
#MaisVoce","VIAVIANE FAZ PLANILHAS, É NERD,","For me to win time: VIAVIANE FAZ PLANILHAS, IS NERD, STUDIAAAAAA, ATRIZ DE VERDADE, SE ORGANIZE PASMANTEREPIVANoMaisVoce #MaisVoce"
282,Morry 😍 Hj Maiara &amp; Maraisa no meu programa queridinho  🌹❤️🌹 #ConversaComBial, Hj Maiara &amp; Maraisa in my little-in-,"It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do."
283,"Coisa boa, ela comeu pouco na primeira vez
#MasterChefBR",She eaten little in the first time #MasterChefBR Good,"Good thing, she ate little in the first time #MasterChefBR"
284,O prato de hoje é esse vomito selado com esse gorfo verde etc #MasterChefBR,The dish of today is this vomiting sealed with thi,The dish of today is that vomiting sealed with this green hat etc. #MasterChefBR
285,#thenoite     que massa ciúme com Mr.  Catra . ,. #thenoite que massa ciúme com Mr. Catra . . .,Thenoite who is very jealous of Mr. Catra.
286,Não são nem 22h e eu já estou na sede de masterchef #MasterChefBR,It is not even 22h and I am already in the head,It’s not even 22h and I’m already at the masterchef headquarters #MasterChefBR
287,"Chocada com a fofurisse do filho do Serginho, atingiu todos os limites de fofura dançando é o tchan  #altashoras","Shocked with the phofurisse of Serginho's son,""","Shocked with the fofurisse of Serginho's son, reached all the boundaries of four dance is the tchan #altashoras"
288,"Sobre ter ouvido   no   #EDeCasa, bom D++. Amooo demais as músicas.",I love the songs too.,"I think I’m going to be a good guy, I’m going to be a good guy, I’m going to be a good guy."
289,a pele é  madura mesmo a filha  falou certo #EDeCasa,The skin is mature even the daughter spoke right #,The skin is mature even the daughter said right #EDeCasa
290,#TheNoite melhor programa da TV brasileira hahahaha Mr catra com sua nova música pepeka chora hahaha vai ser sucesso nacional isso aí.,Mr catra with his new song pepeka chora hahahaha will be,#TheNoite best show of Brazilian TV hahahaha Mr catra with his new music pepeka chora hahaha will be national success that there.
291,"Douglas melhor pessoa dps da yuko,não podia ter saído #MasterchefBR 😭😪😓","Douglas best person dps of yuko, could not have left",Douglas's best person dps from yuko could not have left #MasterchefBR
292,Já inventaram música que a Sandy cante e que não fique absurdamente lindo? #Encontro,"#Control with them I've invented music that Sandy sings""",Have you invented a song that Sandy sings and that doesn’t be absurdly beautiful?
293,"gente, q história eh essa q a Ana Luíza foi desclassificada do #MasterChefBR pq já trabalho como profissional????? tava lavando meu cabelo","I was washing my hair, what history eh thi","People, q story eh this q Ana Luiza was disclassed from #MasterChefBR pq I already work as a professional????? tava washing my hair"
294,"O errro da globo foi ter tirado o Jô tarde, ele já estava decadente ha alguns anos #conversacombial",The errro da globo was to have taken the Julsa af,"The mistake of the globe was to have taken the Jô late, he was already decadent has a few years #conversacombial"
295,Vitor é gracinha demais  #MasterChefBR,Vitor is very shy #MasterChefBR,Vitor is too funny #MasterChefBR
296,Criança adulta são mto chatas.. Aff #encontro,Aff #meeting,Adult children are mto chatas.. aff #encounter
297,A primeira vez que o #MasterChefBR foi justo com alguém em eliminação kkkk adoro esse programa ! Vários meme ❤️😂😂,The first time #MasterChefBR was just with someone,The first time the #MasterChefBR was right with someone in kkkk elimination I love this program!
298,ahhhh... uma semana pra ter #MasterChefBR de novo... :(,A week to have #MasterChefBR again...,Ahhhh... a week to have #MasterChefBR again... :(
299,é lindo demais um parto humanizado #AltasHoras,It is very beautiful a humanized childbirth #TimeHo,It's too nice a humanized birth #AltasHoras
300,Meu prato hoje no #MasterChefBR seria fritar a sardinha e cortar um limão p colocar ao lado do prato. Só isso. Sardinha frita! Maravilha! rs,The only thing that my dish today in the #MasterChe,My dish today at #MasterChefBR would be fried the sardine and cut a lemon p put next to the dish. Only that.
301,N deixem esse programa morrer. Td dia uma perola. #maisvoce,Td day one snake. #new evening N ,"It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do."
