,tweets_original,tweets_translater_unicamp,tweets_translater_face
772,#MaisVoce nos tts = Qual o acidente dessa vez com a Ana maria?,What was the accident this time with Ana maria?,What is the accident this time with Anna Maria?
773,Encontro pelo Orkut ninguém fala né?!!!! Hehhehehe #orkut #encontropeloorkut #encontro,Hehhehehe #orkut #meeting by Orkut nobody,Meet by Orkut no one speaks or?!!!! Hehhehehe #orkut #encontropeloorkut # Meet
774,180 reais a gente faz sucesso e ainda parcela em 5x #VideoShowAoVivo,We are successful and still instalment in 5x #Vi,We’re going to get a big deal and we’re going to get a big deal and we’re going to get a big deal.
775,"Carai, tô achando a Bela Gil sexy. Tuitei e sai correndo! #AltasHoras","I'm finding the sexy beauty, I'm thinking a""","I'm going to get a big deal, I'm going to get a big deal, I'm going to get a big deal, I'm going to get a big deal."
776,"MEU DEUS É AGORA JSJSKSKKD
#DomingoLegal",MY God is AGORA JSJSKSKKD #Doming,My God is Now JSJSKSKKD #DomingoLegal
777,#MaisVocê mt engraçado @evaristocosta dando bom dia pro louro,#ThisYou mt funny giving a good day to the blo,#MaisYou mt funny @evaristocosta giving good day for louro
778,Cadê a @veramagalhaes no Morning pra falar de #MasterchefBR ??? Queremos Vera comentando tudo e dando vra nos haters #QueremosJustiça,We want Vera commenting everything and giving vra in the,Where to @veramagalhaes on Morning to talk about #MasterchefBR??? We want Vera commenting everything and giving true to the haters #We want Justice
779,Crianças que falam como adulto #encontro,Children who speak as adults #meet meeting,Children Talking as Adults
780,#ConversaComBial com o Dr. Augusto Cury falando sobre ansiedade e etc... Concerteza um ótima entrevista com um excelente convidado,A great interview with an excellent guest is appropriate,#ConversaComBial with Dr. Augusto Cury talking about anxiety and etc... Concerta a great interview with an excellent guest
781,#videoshowaovivo A Fátima é uma profissional admirável!Parabéns!,Congratulations!,#videoshowaovivo The Fatima is an admirable professional!
782,"Lua ta numa fase tão boa, né? Eu fico aqui só acompanhando de longe, bichinha merece muito #Encontro","I stay here just following away, they deserve a","I'm here just following from far, bichinha deserves a lot #Encounter"
783,"#MasterChefBR minha irmã trouxe uns salgados e to comendo e vendo masterchef 
adorei??",My sister brought some salty foods and I eat and see,#MasterChefBR my sister brought some salts and to eating and seeing masterchef I loved??
784,"""Joinha"". Sacanagem né @MChefDeborah , só porque ele tava sem meio dedo kkkkk #MasterChefBR","It's just because he was without half a finger k""","""Joinha."" Scanage ne @MChefDeborah, just because he had no half finger kkkkk #MasterChefBR"
785,Na maria braga emplacando duas vezes na semana gente kkkkkkkkkkkk #MaisVoce,In maria braga placing twice a week people k,In Maria Braga placing twice a week people kkkkkkkkkk #MaisVoce
786,O programa de hj foi digno de uma final. #MasterChefBR,#MasterChefBR The hj programme was worthy of a final,The hj program was worthy of a final. #MasterChefBR
787,Olá @otacosta @Lopesjoca gostaria da participação do Fiuk no #VideoShowAoVivo. Obrigada!,"Hello, I would like to have Fiuk's participation in""",Hello @otacosta @Lopesjoca I would like Fiuk's participation in #VideoShowAoVivo.
788,#Encontro o maluco do reagge ta brabo. Kkkkk Fátima concordando pra ele finalizar o assunto... Vai até deixar o cara cantar,Kkkkk Fátima agreeing to him finish the subject.,I find the fool of the reagge ta brabo. Kkkkk Fatima agreeing for him to finish the subject... It will even let the guy sing
789,"Alguém manda o Leonardo calar a boca, PELO AMOR DE DEUS. #MasterChefBR",#MasterChefBR,Someone sends Leonardo to silence his mouth for God’s love. #MasterChefBR
790,"Não aceito, vamos fazer a prova de novo até o time azul ganhar  #MasterChefBR","We're going to do the test again until the blue""","I don't accept, we'll make the test again until the blue team wins #MasterChefBR"
791,"Hoje tem Augusto Maravilhoso Diferentão Cury no #ConversaComBial, corações, amém!",Today there is Augusto Maravilhoso Diferentão Cury in #Conversation,"Today has August Wonderful Difference Cury on #ConversaComBial, hearts, Amen!"
792,"Sport Club do Recife com o ""Adote um Torcedor"" emocionando muita gente no #Encontro",A lot of people in the #Encontrol #Encontrol,"Sport Club of the Recife with the ""Accept a Torcedor"" exciting a lot of people on #Meet"
793,Olá @AnaMariaBraga gostaria da participação do Fiuk em algum quadro no @MaisVoce_Globo #MaisVoce. Obrigada!,"Hello, I would like to have Fiuk participated in a ",Hello @AnaMariaBraga would like Fiuk's participation in some picture on @MaisVoce_Globo #MaisVoce.
794,#MasterChefBR  meu deus do céu quase q a minha Yuko vai embora *-* graças a deus q minha preferida não saiu,My god of heaven almost q my Yuko goes a,#MasterChefBR my god from heaven almost q my Yuko goes away *-* thanks to god q my favorite didn't go away
795,"Amigos, peguem esse frango e arrocha dentro do forno!!!!!! #MasterChefBR","Friends, get this chicken and stew into the oven","Friends, take that chicken and throw it in the oven!!! #MasterChefBR"
796,Que cabelo lindo @fbbreal 😍 #Encontro,What a beautiful hair  #Encontrol That hair is,What beautiful hair @fbbreal 😍 #Meet
797,"#VideoShowAoVivo é o @nicolasprattes , tenho certeza!!!",I am sure!!!!!,"#VideoShowAoVivo is @nicolasprattes, I’m sure!!!"
798,Não tem jeito. Vai ser muito difícil mudar um mínimo da cabeça desses homens enquanto essa geração das avós d hj n morrerem #Encontro,It will be very difficult to change a minimum of the,It will be very difficult to change a minimum of the heads of these men as long as this generation of grandparents d hj n die.
799,"Maiara &amp; Maraisa são muito lindas
#ConversaComBial",The ConversaComBial,Mayara &amp; Maraisa are very beautiful #ConversaComBial
800,Daqui a pouco começa o Encontro e o programa do Bial nada... #ConversaComBial #MaiaraeMaraisaNoBial @MaiaraeMaraisa,"The Meeting and Bial's programme nothing... #Con""","It’s a good idea to be able to do it, but it’s a good idea to be able to do it."
801,#MasterChefBR ALGUÉM POSTA VÍDEO OU GIF DELE CORTANDO O DEDO PLEASE!!!,#MasterChefBR ALGUÉM POSTA VÍDEO,#MasterChefBR Somebody posts a video or GIF by cutting the finger please!!!
802,"#ConversaComBial Melhor programa pra se ver de Madrugada, Ainda mais com meu Parça Rodrigo Santoro kkk","Better program to see Madrugada, Even more with my partner","#ConversaComBial Best program to see from Madrid, More with my Part Rodrigo Santoro kkk"
803,@MChefVictorV  Uma Grancinha #MasterChefBR,A small sleeple #MasterChefBR,@MChefVictorV A Grass #MasterChefBR
804,dei um grito vendo uma conhecida no #altashoras no jogo do papão KKKKKKKK,I screamed seeing a known in #high hour,I made a scream seeing a well-known at #altashoras in the KKKKKKKK game
805,"#MaisVocê
""Soltou ate os unicórnio""","You ""Solved to the unicorn"" #WWWOK ""Sol",“You’ve taken out the unicorns.”
806,Sofia Abrão denovo! É o tchan desnecessário no pgm de hoje. #AltasHoras,It is the unnecessary chanchan in the pgm today. #,Sofie Abrão denovo! is the unnecessary tchan in today’s pgm. #AltasHoras
807,"Fui assistir #MasterChefBR ontem, dormi e agora descobri que meu Vitor saiu AAAAAAAAAAAAAAAAAAAAAA","I watched #MasterChefBR yesterday, I sle","I went to watch #MasterChefBR yesterday, I slept and now I found out that my Vitor went out AAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
808,#MasterChefBR manda a Miriam embora que fica todo mundo feliz aí e aqui.,#MasterChefBR sends to Myriam that everyone is ha,#MasterChefBR sends Miriam although everyone is happy here and here.
809,"Acho que é pecado o padre Fábio de Melo ser padre. Só acho. Quer dizer, fé sem fanatismo, coerência, leveza... Gosto disso! #ConversaComBial",I think that it is a sin that priest Fábio de Melo is a priest,"I think it is a sin the priest Fabio de Melo to be a priest. I just think. I mean, faith without fanatism, coherence, lightness... I like it! #ConversaComBial"
810,Bora ver se a Yuko caí  numa equipe vencedora #MasterChefBR,I would like to see if Yuko fell into a wi,See if Yuko fell into a winning team #MasterChefBR
811,A gente vê tanta pauta de esquerda na TV q até dá uma estranheza boa ver o #TheNoite falando sobre armas com o Bene e mostrando o mundo real,We see so much left agenda on TV that it even gives a go,We see so much left-wing track on TV q so it’s a good strange to see the #TheNoite talking about weapons with the Bene and showing the real world.
812,@masterchefbr @MChefDouglas Maior diva do #MasterChefBR que a gente respeita ❤,We respect ❤,@masterchefbr @MChefDouglas Major diva of #MasterChefBR that we respect ❤
813,Muito bom esse #Encontro de hoje.,This #Control today is very good #Control today.,Great this day’s meeting.
814,Leandro e Leonardo essa eu gostei d ver q o #thenoite relembrou da praça,this I liked d ver q o #thenoite remembered,Leandro and Leonardo that I liked to see q the #thenoite remembered the square
815,Eu acho q o Joaquim Lopes acabou de te matar no #VideoShowAoVivo  @Teledramaturgia,I think that Joaquim Lopes has just kill you in #Video,I think that Joaquim Lopes just killed you on #VideoShowAoVivo @Teledramaturgia
816,#TheNoite Melhor programaaaa kkkkk,#TheNoite Best Programaaa kkkkk,#TheNoite Best Programaaa kkkkk
817,La usurpadora foi difícil 😂😂😂😂😂😂 #TheNoite #MalumaNoTheNoite,The usurpator was difficult  #TheNoite #MalumaNo,"It’s a good thing to do, and it’s a good thing to do."
818,Fátima Bernardes não é só a musa da Vopa. É a musa da #globo e da TV brasielira. 👏🏻👏🏻👏🏻 #VideoShowAoVivo,"Fátima Bernardes is not only the muse of Vopa, but the mu",Fatima Bernardes is not just the musa of Vopa. It is the musa of #globo and bracelet TV. 👍🏻👍🏻 #VideoShowAoVivo
819,"Gente esse #Encontro com a Fátima hoje, tá me quebrando no meio. #mãe #adoção é amor demais no coração ❤️❤️❤️",#mother #adotion is too love in the heart ❤️❤,"I'm going to see you, I'm going to see you, I'm going to see you, I'm going to see you, I'm going to see you, I'm going to see you, I'm going to see you."
820,"Duvidar, criticar e determinar #ConversaComBial","Doubt, criticize and determine #ConversationComBial","Doubt, criticize and determine #ConversaComBial"
821,"Coitado de Victor! Mas se eu perdesse algo toda vez que me corto na cozinha, já estaria fora do planeta Terra. #MasterChefBR",But if I lost something every time I cut my,"But if I lost something every time I cut myself in the kitchen, I’d already be out of the planet Earth. #MasterChefBR"
822,"AMO AMO AMO Augusto Cury
Tenho VÁRIOS livros dele, inclusive estou lendo Ansiedade 2 ❤
#ConversaComBial",I am reading Anxiety 2 ❤ #ConversationComBial,"I love Augusto Cury I have some of his books, even I’m reading Anxiety 2 ❤ #ConversaComBial"
823,"#VideoShowAoVivo Na minha Terra em Belém do São Francisco, o munguzá salgado se chama ""uiuiui"". Forte abraço","A strong hug of munguzá salgado is called ""uiui","In my land in Bethlehem, San Francisco, the salty munguza is called ""uiuiui""."
824,OLHA ISSO SENHOR KKKKKK me ajuda #MaisVoce tô com fome 😅😍,"I'm hungry """,Mr. KKKKKK helps me #MaisVoce I am hungry 👍🏻
825,Manda o leo descer e eliminar ele. Yukooo não  #MasterChefBR,Yukooo not #MasterChefBR,Send the Leo down and remove it. Yukooo not #MasterChefBR
826,Eu comu mas não morro de amores #MasterChefBR,"I eat but don't live with love #MasterChef""",I’ve eaten but I don’t die of love #MasterChefBR
827,Deixa a Fatima apresentar o vídeo show um dia! #VideoShowAoVivo,It leaves the Fatima to present the video show one day! #,Let Fatima show the video show one day! #VideoShowAoVivo
828,"Gente, Nando Reis é muito ruim. #Repassem #Encontro",#Repair #Encounter #Encounter,"People, Nando Reis is very bad. #Repassem #Meet"
829,@erickjacquin MELHOR PESSOA! #MasterChefBR @masterchefbr,#MasterChefBR .,@erickjacquin BEST PERSON! #MasterChefBR @masterchefbr
830,"""Nando Reis se casou duas vezes com a mesma mulher"" QUE MARAVILHOSO 💙💙💙💙💙💙💙💙💙💙💙💙💙 #NandoReisNoEncontro #encontro",WHAT MARIVILLED  #NandoReisNocontro,"""Nando Reis married twice with the same woman"" WHAT WONDERLY 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻 #NandoReisNoMeet #Meet"
831,"Pena que esse doutor é casado combina com Fátima ,😘 #Encontro",It is a slack that this doctor is married combin,Sad that this doctor is married combines with Fatima.
832,A melhor parte do domingo é sem dúvida assistir #MasterChefBR,The best part of Sunday is undoubtedly watching #MasterChe,The best part of Sunday is without a doubt watching #MasterChefBR
833,Mas vale a pena!!! Eu pago U$ 850 pra maquina passar e dobrar todas as minhas roupas!! #MaisVoce,I pay U$ 850 to machine pass and fold all my,But it’s worth it!!!I pay U$850 for the machine to pass and double all my clothes!! #MaisVoce
834,"#MasterChefBR @anapaulapadrao ama sardinha? E eu ganhei na mega-sena, conta outra.","And I got the mega-sna, tells another other.","I'm going to get a lot of money, I'm going to get a lot of money, I'm going to get a lot of money, I'm going to get a lot of money, I'm going to get a lot of money."
835,"Arrasou mlk 
#MasterChefBR",Dragou mlk #MasterChefBR Dragou mlk #MasterChef,The Mlk #MasterChefBR
836,"LEO LINS EU TE VENERO KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
#TheNoite",LEO LINS IU TE VENERO KKKKK,I’m going to get you back to the night.
837,"@pefabiodemelo fala bem ! Parabéns pelas palavras, você é um cristão que mostra ter intimidade com Deus e é estudado! #conversacombial ...","Congratulations for the words, you are a Christian who shows in","@pefabiodemelo speaks well! Congratulations for the words, you are a Christian who shows to have intimity with God and is studied! #conversacombial..."
838,#MaisVocê.  Que mulher linda! @taisdeverdade  é um encanto! Tão bom vê-la ! Bom diaa!!!,"It's a charm! It's a nice woman! It'""",What a beautiful woman! @the truth is a charm! so good to see her!
839,"Amoooo ""Adultos com voz de criança"" deveria passar todos os dias @DaniloGentili @jublackpower @murilocouto @LeoLins ❤  #TheNoite","Amoooo ""Adults with children\'s voice"" sho","Amoooo ""Adults with child voice"" should pass every day @DaniloGentili @jublackpower @murilocouto @LeoLins ❤ #TheNoite"
840,"Nos EUA, após a liberação das armas para os cidadãos, o numero de estupros caiu 56%

#TheNoite","In the USA, after the release of weapons for ci","In the U.S., after the release of weapons to citizens, the number of rape fell 56% #TheNoite"
841,"Nesta bosta de país, SEQUER spray de pimenta é liberado pra uma mulher poder se defender!! #TheNoite","In this country bout, SEQUER pepper spray is relea","In this bust of country, SEQUER pepper spray is released for a woman to be able to defend itself!! #TheNoite"
842,Aeeeeeeeeeeeeeeeeeeee... divulgando o #TheNoite,By disseminating the #TheNoite #TheNoite,Aeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
843,Mr catra é foda dmais #TheNoite,Mr catra is foda dmais #TheNoite,Mr. Catra is foda more #TheNoite
844,"Parabéns @MChefVitorB pela sua garra e força de vontade,a cada dia mais sou sua fã,merece tudo de melhor 👏👏😍 #MasterChefBR","Congratulations for your claw and will strength,and you","Congratulations @MChefVitorB for your strength and will, every day I am your fan, deserves everything better 👍🏻 #MasterChefBR"
845,"15m kikando pai amado, rs #TheNoite",#TheNoiteNoiteNoiteNoiteNoiteNoiteNoiteNoiteNo,"15m kikando father beloved, rs #TheNoite"
846,Fé no pai que a Miriam sai #MasterChefBR,The father faith that Myrian leaves #MasterChefBR,Faith in the father that Miriam leaves #MasterChefBR
847,Aeeeeee de peixe eu entendo! #MasterChefBR #teamfabriziomasterchefbr #teamfabrizio,I understand fish aeeeeee I understand! #Ma,Aeeeeee of fish I understand! #MasterChefBR #teamfabriziomasterchefbr #teamfabrizio
848,E a vontade de comer essa massa! Socorro! #MasterChefBR,The desire to eat this pasta! Oh! #MasterChe,And the will to eat that mass! #MasterChefBR
849,#Walter torço por ti no #MasterChefBR!!!!,#Walter torço por ti no #MasterChefBR!!!!,#Walter torture for you at #MasterChefBR!!!
850,Vítor B tá nos trends ❤ #MasterChefBR,❤ #MasterChefBR,Victor B is in the trends ❤ #MasterChefBR
851,"Mano Vitor, tá muito feio! Decepção. #MasterChefBR",#MasterChefBR,"Man Vitor, you’re so crazy! #MasterChefBR"
852,Missão do dia: evitar spoilers #MasterchefBR,Mission of the day: avoiding spoilers #Masterchef,Day Mission: Avoid Spoilers #MasterchefBR
853,To MORRENDO de fofura com o Thomas no #AltasHoras,To MORRENDO de fofura with Thomas in #AltasHours,To MORRENDO of fist with Thomas at #AltasHoras
854,Vendo #masterchefBR e arrumando a marmita de amanhã. A vida gente...ela não é fácil,Life we...she is not easy...she is no,I see #masterchefBR and arranging the marmite of tomorrow. life people...it’s not easy
855,"Só quero que a Miriam saia na semana que vem, amém #MasterChefBR","I only want Myriam to leave the next week, a","I just want Miriam to leave next week, Amen #MasterChefBR"
856,"Nunca fiquei tão triste com uma eliminação @MChefVitorB 
Pior episódio
#MasterChefBR",Never became so sad with an elimination worse episode #Ma,I’ve never been so sad with a removal @MChefVitorB Worse episode #MasterChefBR
857,"Gente, a moça flertando com o chef #MasterChefBR",The girl flertaking with the chef #MasterChefBR,"People, the girl flirting with the chef #MasterChefBR"
858,Quando Vejo #MaisVoce nos Trends Já Fico Pensando Qual Foi a Gafe da Namaria!,When I see it #more voice in the Trends I keep,When I see #MaisVoce in the trends I'm already thinking what was the Gafe of Namaria!
859,#VideoShowAoVivo #SofiaAbrão  #Otaviano Amo Vocês meus amores,"I love your loves, I live and I live again,",#VideoShowAoLive #SofiaAbrão #Otaviano I Love You My Loves
860,oi irmãs Galvão será se vcs podem me adotar #Encontro,Oi siblings Galvão will be if you can adopt me #,Oh sisters Galvan will be if vcs can adopt me #Meet
861,Herói latino voando e cantando festa no ape kkklllllllllllkkkkkkkkkkkkkkkkkkkk #TheNoite,TheNoite,Latin hero flying and singing party on the ape kkkllllllllllkkkkkkkkkkkkkkkkkk #TheNoite
862,"Que episódio maravilhoso, to assistindo em pé de nervoso hahahahha #MasterChefBR","What wonderful episode, I watching on a nervous foot","What a wonderful episode, to watching standing of nervous hahahahha #MasterChefBR"
863,Vamos brindar à vida meu bem! 🎶❤️ #altashoras @vanessadamata,"Let's bring to life my good! ❤️ #hi""",Let’s give my life my good! #altashoras @vanessadamata
864,#VideoShowAoVivo Fátima sempre elegante e chic!,Fatima always elegant and chic!,#VideoShowAoVivo Fatima always elegant and chic!
865,Vitor B sem bandana rejuvenesceu uns 15 anos #MasterChefBR,Vitor B without bandana rejuvenesced about 15 years,Vitor B without bandana rejuvenates about 15 years #MasterChefBR
866,essa tag é a melhor do mundo #MasterChefBr,This tag is the best in the world #MasterChefBr,This tag is the best in the world #MasterChefBr
867,#masterchefBR faz master chef no bairro da liberdade em SP,#masterchefBR makes master chef in the neighborhood of,#masterchefBR makes master chef in the freedom neighborhood in SP
868,#MasterChefBR  CADÊ REPESCAGEM?,#MasterChefBR CADÊ REPESCAGEMENT?,What is the MasterChef?
869,#masterchefbr ai que nervosuuu,#masterchefbr ai que nervosuuu #masterchefbr a,#Masterchefbr who is nervous
870,hj é dia de #MasterChefBR,We are day of #MasterChefBR,Today is the day of #MasterChefBR
871,@erickjacquin Melhor pessoa km #MasterChefBR,Best person km #MasterChefBR,@erickjacquin Best person km #MasterChefBR
872,"Taís Araújo vc é maravilhosa! Ninguém é obrigado a comer o que não gosta como a Fátima fez esses dias no #Encontro 
Tmj @taisdeverdade 😘",No one is obliged to eat what he does not li,No one is forced to eat what doesn’t like as Fatima did these days at #Meeting Tmj @Taisdeverdade 👍
873,Pra que  que esse povo corre meu pai  #MasterChefBR,For what this people runs my father #MasterChe,So that people run my father #MasterChefBR
874,hoje tem MasterChefBR produçao kkkkkk  😍#Foramirian #MasterChefBR,Today there is MasterChefBR production kkkkkk ,Today has MasterChefBR producing kkkkkk 😍#Foramirian #MasterChefBR
875,não é o @otacosta pq na época em que ele era bebê nem eletricidade tinha kkkjh te amo ota #VideoShowAoVivo,At the time he was baby not even electricity had kk,It's not the @otacosta pq at the time when he was a baby nor electricity had kkkjh I love you ota #VideoShowAoVivo
876,Bela Gil o Brasil inteiro é fã do É o tchan. #altashoras,#high-hours,Bela Gil the whole Brazil is a fan of It's the tchan. #altashoras
877,Bora providenciar​ logo essa repescagem keridinhos XEGA DE SOFRIMENTO #MasterChefBR,She can provide this re-adjustment students XEG,Bora providentiate soon this keridines repairing #MasterChefBR
878,"Gente, esse povo NUNCA fez ou comeu sardinha e ESTÁ NO #MasterChefBR ?! Como assim?!!!!🤔🤔🤔",How has this people NEVER done or ea,"People, this people NEVER made or eaten sardines and are at #MasterChefBR?!"
879,Dona Ivone falando que o marido não valia nenhum c@#0 😂😝 #DomingoLegal,Dona Ivone saying that her husband was not valuable c,Donna Ivone says that her husband is not worth any c@#0 😂<unk> #DomingoLegal
880,Qual o nome desse especialista? #ÉDeCasa,"#I'm Whenever the name of this specialist?""",What is the name of this expert? #EdeCasa
881,@pauloap tá vendo o #TheNoite? O danilo tá demais ahahhahhahhahahhhahah,The danile is too ahahhahhahhahhahah,@pauloap is watching the #TheNoite? the damage is too ahahhahhahhahhahhah
882,Que loucura esse episódio de #masterchefbr,This episode of #masterchefbr It is crazy that #masterchef,How Crazy This Episode of #Masterchefbr
883,"Quando o preto começa a expor sua indignação sobre o racismo o branco o quer calar. Cala a boca e vai tomar no cu, Fátima #Encontro","She calls her mouth and takes it in the cu, Fátima #Encon",When the black begins to expose his indignation over racism the white wants to silence him.
884,#thenoite @DaniloGentili  Manoel possível.  É  muito cagão.,"It's very stupid.""",#thenoite @DaniloGentili Manoel possible.
885,Assistindo ao #ConversaComBial!,The #Conversation-Bial is a study that is about,Watch the #ConversaComBial!
886,@EncontroFatima #encontro.uma joinha.,#meeting.a joy.,"I’m going to see you, I’m going to see you, I’m going to see you, I’m going to see you."
887,"A Paola falou sobre massa crua, a menina serviu massa crua. Não aceito o Vitor ser eliminado #MasterChefBR",I do not accept Vitor to be eliminated #MasterChefBR,"Paola talked about raw mass, the girl served raw mass. I do not accept the Vitor to be removed #MasterChefBR"
888,feliz pq hj vou conseguir assistir #MasterChefBR,"I'm able to watch #MasterChefBR""",Happy pq hj I will be able to watch #MasterChefBR
889,"@vanessadamata no #AltasHoras , linda. Como eu ouvia quando eu tinha treze anos",How I heard when I was thirteen I was thir,"@vanessadamata on #AltasHoras, beautiful. as I heard when I was thirteen"
890,"Não se trata d ficar chamando coisa ruim. Trata-se d compreender a realidade e o contexto, d ter autocrítica
#MasterChefBR","It is not about calling bad things, but a","It’s not about being calling something bad. It’s about understanding reality and context, it’s about having self-criticism #MasterChefBR"
891,"#Encontro.  Cia Urbana  de Dança.  Genial! Arrasaram na Abertura do Fantástico.  Que bom, vê-los em cena, agora. 👏👏👏👏👏",They have dropped in the opening of the Fantástico. What good,"I'm looking forward to this, I'm looking forward to this, I'm looking forward to this, I'm looking forward to this, I'm looking forward to this."
892,"""Tem gente saindo por besteira e quem tinha que sair ainda tá por aqui"" 

Tipo você né Leonardo embuste

#MasterChefBR",You right Leonardo exploits #MasterChefBR,"""There's people going out for foolishness and those who had to go out still go here"" Type you or Leonardo embuste #MasterChefBR"
893,Ai tô cansada desse Leonardo!  #MasterChefBR,"I'm tired of this Leonardo! #MasterChefB""",You are tired of this Leonardo! #MasterChefBR
894,"""Ela comeu o livro..."" AHHAAHAHA #MasterChefBR",AHHAAHAHA #MasterChefBR,“She Eat the Book...” AHHAAHAHA #MasterChefBR
895,"""é bonito, MUITO lindo!"" Kkkkkk 
#MaisVoce",Kkkkkk #ThreeYours,"“It’s beautiful, very beautiful!” Kkkkkk #MaisVoce"
896,#EquipeAzul abalando c/ meu psicológico... 😨😨😨 #MasterChefBR, #MasterChefBR,#EquipeBlue shaking c/ my psychological...  #MasterChefBR
897,"n era pro Vitor B ter saído, uns dos meus fav :( to triste #MasterchefBr",I was sad #MasterchefBr,"N was pro Vitor B had gone, some of my fav :( to sad #MasterchefBr"
898,Hoje tem #MasterChefBR e por isso apareci aqui,Today there is #MasterChefBR and so I appeared here,Today I have #MasterChefBR and that's why I appeared here
899,"Nossa mnw fiquei mt emocionada qnd falaram pró Vitor subir pró mesanino cara que felicidade ❤🙌🙌
#MasterChefBR",Our mnw was mt emotionaled qnd they said,Our mnw got mt excited qnd talked pro Vitor up pro mesanino cara that happiness ❤🏻 #MasterChefBR
900,Vou assistir a reprise do programa para ver se os chefs mudaram de opinião. #MasterChefBR,#MasterChefBR,I’m going to watch the reprise of the program to see if the chefs have changed their opinion. #MasterChefBR
901,#MaisVocê as minhas veias ja estão entupida so de olhar essa panela cheia de óleo,My veins are already blocked by looking at thi,You are my veins already stumbled by looking at this panel full of oil
902,Eu e meu namorado fomos olhar a primeira vista em uma balada e estamos juntos ha 6 meses. #Encontro #EncontroFatimaBernardes 😍😍,#Control #ControlFatimaBernardes ,I and my boyfriend went to see the first sight on a ballade and we’re together has 6 months. #Meet #MeetFatimaBernardes 😍😍
903,"Estão desmanchado o verdadeiro time vermelhor, a @MChefDouglas faz falta #MasterChefBR","The true red team is cut, there is a lack of it","The real red team is missing, @MChefDouglas needs #MasterChefBR"
904,"Láia, láia, carinha de anjo me faz sonhar 🎶❤ #DomingoLegal","Laia, laia, angel's little hand makes me dre""","It’s a good thing to do, it’s a good thing to do, it’s a good thing to do, it’s a good thing to do."
905,"Fala de coisas antigas o Joca fica mudo, não sabe nem quem foi Chacrinha. #VideoShowAoVivo",#VideoShowTheoVivo,"It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do."
906,"#VideoShowAoVivo Acredita é a essência, mas ter atitude é o que faz a diferença, LINDA @emillyaraujoof","Believing is the essence, but having attitude is what ma","#VideoShowAoVivo Believe is the essence, but having attitude is what makes the difference, LINDA @emillyaraujoof"
907,O prato da @MChefYuko ficou mais bonito que o da @PaolaCarosella. Convenhamos. #MasterChefBR,We would keep on. #MasterChefBR,The dish of @MChefYuko became more beautiful than the dish of @PaolaCarosella.
908,#encontro negro e branco no BR tá ferrado com a política do mesmo jeito.,#black and white meeting in BR is stinged with the,The black and white meetings in the BR are shattered with politics in the same way.
909,"""É muito fácil acabar com a reputação de alguém""
#Encontro",#Control,“It’s very easy to end someone’s reputation”
910,"Ai vc tá dormindo e acorda passando Anjo - Saulo na Tv da Sala, pqp! É pra acabar comigo né produção?  #ÉdeCasa","Is it to end me, right? #It's home, you s""","I'm not sure if you're going to get a lot of money, but if you're going to get a lot of money, you're going to get a lot of money."
911,@RedeGlobo É o Murilo Benício #VideoShowAoVivo #SophiaNoVideoShowAoVivo,Murilo Benício #VideoShowAoVivo #SophiaNoVide,@RedeGlobo is the Benic Murillo #VideoShowAoVivo #SophiaNoVideoShowAoVivo
912,"#TheNoite esse Maluma, tem sorte demais....pegou a Anita #mulequedesorte",It caught Anita #mulequedesorte,"The night that Maluma, has too much luck. #mulequedesorte"
913,"#ConversaComBial
Hoje eu vi um padre dizer ""vc que espulse seus proprios demonios"" adorei muito bom e muito verdade 😀😁","Today I saw a priest saying ""vc that spulses","#ConversaComBial Today I saw a priest say ""vc that expel your own demons"" I loved very good and very true 😀👍"
914,"Sobre a pantufa da Ana Maria Braga ❤

#MaisVoce","About Ana Maria Braga's pantufa ❤ #MaisVoce About Ana Maria""",About the pantufa of Ana Maria Braga #MaisVoce
915,"@pefabiodemelo Nossa, como o senhor transmite bom humor, paz e tranquilidade. Delícia escutar. #conversacomBial",It is delicate to listen. #conversacomBial,"@pefabiodemelo Our, as you transmit good mood, peace and tranquillity. #conversacomBial"
916,"O que falar de Katy Perry em Bon Appétit?
#MasterchefBR 
🙄 #BonAppétitMusicVideo",#MasterchefBR  #BonAppétitMusicVide,What to say about Katy Perry in Bon Appétit? #MasterchefBR 🙁 #BonAppétitMusicVideo
917,"A carreira de fatima e lindaa, #VideoShowAoVivo","The career of fatima and lindaa, #VideoShowAo","The career of fatima and beautiful, #VideoShowAoVivo"
918,Começou #VideoShowAoVivo,The experience of the experience of the experience of the experience,Started by #VideoShowAoVivo
919,Padre gato rs #ConversaComBial,Father gato rs #ConversationComBial,Father Cat Rs #ConversaComBial
920,"#VideoShowAoVivo...
Não aguento a chatice da Sophia Abrahão... Está sempre tensa, sorriso artificial, postura contraída e torta... Não dá...","I don't endure Sophia Abrahão's chatice..""","I don’t tolerate Sophia Abraham’s chatting... It’s always tensioned, artificial smile, contractual posture and cake... It doesn’t..."
