tweets_original,tweets_translater_face,polarity,polarityMultiClassifierTweetsOriginal,polarityMultiClassifierTweetsTraduzido
E hj q a miriam sai #MasterChefBR,And hj q a miriam goes out #MasterChefBR,1.0,0.0,0.0
"Taís Araújo linda e bela no Mais Você! Entrevista incrível. Gente ela é fofa demaaais   😍😍
#taisaraujo #maisvoce",Taís Araújo beautiful and beautiful in More You! incredible interview. people she is fofa demaaais 😍😍 #talaraujo #maisvoce,1.0,1.0,1.0
#MasterChefBR SEGURA NA MAO DE DEUS DOUGLAS AI MEU PAI CORRENTE DE ORAÇAO AGORA AI MEU PAI ,#MasterChefBR Safe in the Faith of God Douglas to My Father Current of Prayer Now to My Father,1.0,-1.0,1.0
"O #ProgramaDoRatinho terminou, fiquem agora com o filme #JogosLetais 🎬💀😱🔥 no #CineEspetacular, em seguida tem #TheNoite no .","The #ProgramDoRatinho is over, stay now with the movie #GamesLetais <unk>🔥 on #CineEspetacular, then have #TheNoite on.",0.0,0.0,0.0
Namaria queimou o dedo ao vivo? Foi isso mesmo que eu vi? KKKKKKKKK #MaisVoce,Namaria burned his finger alive? it was exactly what I saw?,0.0,-1.0,-1.0
Que coisa mais linda essa criança!!!!!!! #AltasHoras,What’s more beautiful this child!!!,1.0,1.0,1.0
"Ei Bial...vai tomar no cu!!
Florzinha baba ovo do fRamenfRaude!!!
Para de ko!!!
Rede Globo parcial #ConversaComBial","I'm not sure if you're going to get a lot of money, I'm not sure if you're going to get a lot of money, I'm not sure if you're going to get a lot of money.",-1.0,-1.0,0.0
"""Unico lugar que a mulher tem liberdade sexual é na cadeia!"" que foda... #ConversaComBial","""The only place that a woman has sexual freedom is in jail!"" that foda... #ConversaComBial",1.0,1.0,-1.0
#TheNoite  adorei o programa de hoje apesar de estar apenas ouvindo.Adoro a personagem Nina da Praça é nossa.,#TheNoite I loved the program of today despite being just listening.I love the character Nina of the Square is our.,1.0,1.0,1.0
"Não sei o q odeio mais, Miriam ou comercial #MasterChefBR","I don't know what I hate more, Miriam or commercial #MasterChefBR",-1.0,-1.0,-1.0
Acabei de vê a  no #AltasHoras 😍,I’ve just seen it on #HighHoras.,1.0,1.0,0.0
"a falha da produção do #MaisVoce acaba expondo  como se ela fosse mal educada. Não, gente, Taís foi HONESTA e sincera","The failure of the #MaisVoce production ends up exposing it as if it was badly educated. No, people, Taiz was Honest and sincere",-1.0,-1.0,-1.0
Alguém tira a Miriam deste programa #MasterChefBR,Someone takes Miriam from this #MasterChefBR program,-1.0,-1.0,-1.0
Enquanto uma chora pela saída do Vitor a outra chora por ela mesma. É a vida né #MasterChefBR,"While one is crying for the exit of Vitor, the other is crying for herself. #MasterChefBR",-1.0,-1.0,-1.0
"Tu és um covarde que passa a bola pros outros e que sobrecarrega a mulher só isso 
mulher nenhuma nasceu sabendo tudo também
#Encontro",You are a coward who passes the ball for others and who overloads the woman only that woman none was born knowing everything too.,-1.0,-1.0,-1.0
"Teve sardinha, dente, mini infarto,cenoura (?),  de brinquinho,Jacquin quase chorando e o rapazinho eliminado #MasterchefBR 👏","He had sardine, tooth, mini heart attack,storm (?), toys,Jacquin almost crying and the boy removed #MasterchefBR",-1.0,-1.0,-1.0
"#Edecasa Depois de pegar no cachorro Andrè Marques lava as mãos na pia da cozinha! caraca, que porquinho!!!!!!!","After getting into the dog Andrè Marques washes his hands in the kitchen square! carcass, what dwarf!!!",-1.0,-1.0,-1.0
Tenho que acordar 5:30 da manhã e aqui ainda estou acordado chorando pelo #masterchefbr,I have to wake up at 5:30 am and here I am still awake crying for #masterchefbr,-1.0,-1.0,-1.0
"- Quantos clipes? 
- Um monte
- Quantos? 
- uns 7 ou 8. 
.
.
.
#altashoras",- How many clips? - A lot - How many? - about 7 or 8... #altashoras,-1.0,0.0,0.0
Eu fico só a Taís Araújo quando pedem pizza de brócolis #maisvoce,I'm only in Taís Araújo when they ask for broccoli pizza #maisvoce,-1.0,-1.0,0.0
Tô aqui assistindo #MasterChefBR e sofrendo de tanta fome,You are here watching #MasterChefBR and suffering so much hunger,1.0,-1.0,-1.0
"Um date pra casa, comendo confort food, entre dois jobs, muito top #MasterChefBR","A date for home, eating comfort food, between two jobs, very top #MasterChefBR",1.0,1.0,1.0
Finalmente a Taise pode usar tapioca hahahahah  #MasterChefBR,"Finally, Taise can use tapioca hahahahah #MasterChefBR",1.0,1.0,1.0
A RISADA DE PORQUINHO SCRRRR VIVIANNE #VideoShowAoVivo,The laughter of why SCRRR VIVIANNE #VideoShowAoLive,1.0,-1.0,1.0
Quero perguntar pra Laura Miller se cair esperma no olho a pessoa corre risco de ficar cega???? #AltasHoras #LauraMuller #lauramilller,I want to ask Laura Miller if sperm falls in the eye the person is at risk of becoming blind???? #AltasHoras #LauraMuller #lauramilller,1.0,0.0,0.0
"Terça (16), os infantis e Talk Show do SBT marcaram:

#MundoDisney 4.2
#BomDiaECia 5.9
#ClubeDoChaves 6.3
#TheNoite com  3.9","Third (16), the SBT’s children and Talk Show marked: #MundoDisney 4.2 #BomDiaECia 5.9 #ClubeDoChaves 6.3 #TheNoite with 3.9",0.0,0.0,0.0
pensa em uma dor no coração quando o Vitor cortou o dedo 💔🔪 #MasterChefBr,Think of a pain in the heart when the Vitor cut his finger #MasterChefBr,-1.0,-1.0,-1.0
"Quando crescer quero ser igual a geysa , é pedir muito? #VideoShowAoVivo ? ?","When growing I want to be the same as geysa, is it asking a lot? #VideoShowAoVivo?",1.0,0.0,0.0
#EDeCasa passa alguma coisa legal,#EdeCasa happens something legal,-1.0,0.0,0.0
"NÃO MANDE NUDE  hahushuahsuahush aham
#Encontro",Do not send naked hahushuahsuahush aham,-1.0,0.0,-1.0
#MaisVoce  bom dia,#Good day,1.0,1.0,1.0
"É inevitável eu não fazer um lanchinho depois do #MasterChefBR
Até tento, mas não dá...","It’s inevitable I don’t make a slurry after the #MasterChefBR I’m trying, but I can’t...",1.0,-1.0,-1.0
#videoshowaovivo Otaviano Costa parece perdido ao falar de Nelson Xavier!🙄,#videoshowaovivo Otaviano Costa seems lost when talking about Nelson Xavier!,-1.0,-1.0,-1.0
318 temporadas e os participantes ainda não sabem ver quando a Paola gostou do prato. #MasterChefBR,318 seasons and participants don't know when Paola liked the dish. #MasterChefBR,-1.0,0.0,0.0
vitor b meu crush e fav da temporada  #MasterChefBR,Vitor b my crush and fav of season #MasterChefBR,1.0,1.0,1.0
"Não decepciona #EquipeAzul eu acredito! 
Melhor equipe já formada
#MasterChefBR",Don't disappoint #EquipeBlue I believe! Best team ever formed #MasterChefBR,1.0,1.0,1.0
#MaisVoce essa Michele tá precisando carregar um vibrador na bolsa. Que #mimimi do carai!,It’s important to note that you’re going to get a lot of money and you’re going to get a lot of money and you’re going to get a lot of money and you’re going to get a lot of money.,-1.0,-1.0,1.0
" no #AltasHoras! E eu, fã, de olhos arregalados e ouvidos bem atentos!!","And I, the fan, with fine eyes and good ears!!",1.0,1.0,1.0
a cara dela de decepção com o vestido da Germana #VideoShowAoVivo,Her face of disappointment with German's dress #VideoShowAoVivo,-1.0,-1.0,-1.0
Ainda tem É o tchan p completar #AltasHoras,It's the tchan p complete #AltasHoras,1.0,0.0,0.0
"Ei queridinhas, bora parar de reforçar esteriótipos machistas?? Infelizmente vocês só alimentam mais o machismo #ConversaComBial","Eyes, do you stop strengthening male stereotypes? unfortunately you only feed more the machism #ConversaComBial",-1.0,-1.0,-1.0
É O Tchan deveria ser disciplina nas escolas. As novas gerações têm a obrigação de saberem quem é o maior grupo do país! #AltasHoras,The new generations have the duty to know who is the largest group in the country! #AltasHoras,1.0,0.0,0.0
O berro do Fogaça sempre assusta a Paola. hahahahahahaha #MasterChefBR,The scream of the Fugaça always scares Paola. hahahahahahaha #MasterChefBR,1.0,1.0,-1.0
Não tenho estrutura emocional pra assistir #MasterChefBR,I have no emotional structure to watch #MasterChefBR,-1.0,-1.0,-1.0
"Bom, na minha opinião ""negro"" é aquilo que absorve quase totalmente a luz enquanto que o ""preto"" é algo que não reflete a luz. #Encontro","Well, in my opinion, ""black"" is what almost completely absorbs light while ""black"" is something that doesn't reflect light.",-1.0,0.0,0.0
"Esse Catra é foda 😂😂😂
#TheNoite",It’s a good thing 😂😂😂 #TheNight,1.0,1.0,1.0
#VideoShowAoVivo Kkkk ahhh eu morro com esse Veras dando uma de doido!! Amo esse cara!,#VideoShowAoLive Kkkk ahhh I die with this Summer giving one crazy!!,1.0,1.0,1.0
"Até o Padre Fábio de Melo cantando Trem Bala, no caso, no #ConversaComBial","Even the Fabius Father of Melo singing Trem Bala, in the case, at #ConversaComBial",1.0,0.0,0.0
"#MaisVocê minha irmã calça 34 e compra sapato em qualquer loja,nunca teve dificuldade em encontrar essa numeracao","You my sister shoes 34 and buy shoes in any store, never had difficulty finding that number",1.0,0.0,0.0
Iris tão fofa e linda 😻😻💙 #EDeCasa,Iris so foolish and beautiful 🏻 #EDeCasa,1.0,1.0,-1.0
"#MaisVoce O FGTS não é descontado do funcionário. Se informem. A obrigação é apenas da empresa, que deve recolher.","#MaisVoce The FGTS is not discounted from the employee. if informed. the obligation is only of the company, which must collect.",-1.0,0.0,0.0
"Yuko e Vitor B ah naoo, enqto isso Nayane, Leonardo e Miriam ainda na competição que merdaaaa #MasterChefBR","Yuko and Vitor B ah naoo, enqto that Nayane, Leonardo and Miriam still in the competition that merdaaaa #MasterChefBR",-1.0,-1.0,-1.0
"Hora de levantar, arrumar a casa e me preparar pro melhor evento da minha semana: #MasterChefBr POOOORRAAAA! 😂❤😍","Time to get up, arrange the house and prepare me for the best event of my week: #MasterChefBr POOOORRAAAA! 😂❤😍",1.0,1.0,1.0
Começou o #TheNoite,The #TheNoite begins,1.0,0.0,0.0
#VideoShowAoVivo chorei vendo isso,I’m crying watching it,1.0,-1.0,-1.0
"Acordei, mas não queria. E ainda tô indignada que a Mirian não saiu do #MasterChefBR. Bom dia","I woke up, but I didn't want. And I'm still angry that Mirian didn't get out of #MasterChefBR.",-1.0,-1.0,-1.0
Tadinho da forma como o abel saiu. #MasterChefBR  Perceba que estou bem atrasada.,It’s the way the bees came out. #MasterChefBR I realize I’m very late.,-1.0,-1.0,-1.0
Esse povo do mezanino só atrapalha #MasterChefBR,This people of the mezanino only disturbs #MasterChefBR,-1.0,-1.0,-1.0
Namaria mostrando que nosso unicórnio tá VIVO. 😍✨🦄 // #MaisVoce,I'm going to show that our unicorn is alive. 👍🏻 // #MaisVoce,1.0,1.0,1.0
Vou sentir falta daquela jogada de cabelo que o Douglas dava no #MasterChefBR,I’ll miss that haircut that Douglas gave on #MasterChefBR,1.0,-1.0,-1.0
Nada mais justo que deixar o cara terminar a prova #MasterChefBR,Nothing more just than let the guy finish the test #MasterChefBR,1.0,0.0,0.0
Na bad por ter perdido @MChefCaroline na semana passada e o @MChefDouglas hj 😭💔👎 #MasterChefBR,In bad for having lost @MChefCaroline last week and @MChefDouglas hj 😭 #MasterChefBR,-1.0,-1.0,-1.0
@pcastagnoli vermelho ou azul? #MasterChefBR,@pcastagnoli red or blue? #MasterChefBR,0.0,0.0,0.0
Eu acho que esse foi o episódio de @masterchefbr mais lindo que eu já assisti! @MChefVitorB você é incrível! 😍 #MasterChefBR,I think this was the most beautiful @masterchefbr episode I’ve ever watched! @MChefVitorB you’re amazing! 😍 #MasterChefBR,1.0,1.0,1.0
"Triste com a saída do Douglas. 😢😢
#MasterChefBR",I'm sad about Douglas's departure. #MasterChefBR,-1.0,-1.0,-1.0
#timeazul pq o melhor @MChefVitorB  está nele. Arrasando no ringue o #MasterChefBR,#timeazul pq the best @MChefVitorB is in it. Strike in the ring #MasterChefBR,1.0,1.0,1.0
Tô tão nervosa que parece até q a primeira vez q vejo elas na TV.. 😅😂😻😻💙 #EDeCasa,It’s so nervous that it looks like the first time I see them on TV.,1.0,1.0,-1.0
Emocionante a cena do reencontro da Giuliana com o seu filho no orfanato! #VídeoShowAoVivo,Emotional the scene of Giuliana's reunion with her son in the orphanage! #VideoShowAoVivo,1.0,1.0,1.0
Agora tem Rafael Infante (@rafaelinfante) 😂😂🎬 no #TheNoite com @DaniloGentili no @SBTonline.,Now he has Rafael Infante (@rafaelinfante) 😂😂 on #TheNoite with @DaniloGentili on @SBTonline.,1.0,0.0,0.0
#TeamAzul tá toooooop meu amor #MasterChefBR só faltou o @MChefDouglas  no time ❤,#TeamAzul ta toooooop my love #MasterChefBR only missed @MChefDouglas in time ❤,1.0,1.0,1.0
Putz após #ProgramaDoPorchat sou obrigado a passar na globo ver @MaiaraeMaraisa no #PgmDoBial prq o #TheNoite com @DaniloGentili tá BOSTA,Putz after #ProgramaDoPorchat I am forced to pass in the globe see @MaiaraeMaraisa on #PgmDoBial prq the #TheNoite with @DaniloGentili ta BOSTA,-1.0,-1.0,-1.0
Mas quem pediu a opinião do Leo?! #MasterChefBR,But who asked for Leo’s opinion? #MasterChefBR,-1.0,0.0,0.0
Vc nao tem querer nana #MasterChefBR,Vc doesn’t want nana #MasterChefBR,-1.0,-1.0,-1.0
"@RafaeoVargas Será? Será q o Brasil ta pronto pra uma conversa,pra um pensamento critico ou a maioria só é ""cega torcida""? #ConversaComBial","@RafaeoVargas Will it be? will Brazil be ready for a conversation, ask for a critical thought or the majority is just “torted blind”? #ConversaComBial",-1.0,0.0,0.0
"#MasterChefBR
Pelo jeito os dois times vão perder..",#MasterChefBR In the way the two teams will lose.,-1.0,-1.0,0.0
Nunca mais vai acabar essa matéria chata desse menino não?  #VideoShowAoVivo,"It will never end that boring matter of this boy again, right? #VideoShowAoVivo",-1.0,-1.0,-1.0
"Real Time - São Paulo às 11h54: Globo 9.8, SBT 6.6, Band 3.3, Record 3.0 #Encontro #HojeEmDia","Real Time - São Paulo at 11:54: Globo 9.8, SBT 6.6, Band 3.3, Record 3.0 #Encontro #HojeEmDia",0.0,0.0,0.0
Como assim o alho algo a a gente compra no mercado não nasce??!!🤔 @EncontroFatima @fbbreal #Encontro,How do we get a lot of money in the market?      ,-1.0,0.0,0.0
#MasterChefBR Douglas saiu tombando msm. O rei desse programa sem mais,#MasterChefBR Douglas went down msm. The king of this program without more,1.0,1.0,1.0
N acredito q a Yuko ou o Vitor podem sair 😭😭😭😭 #MasterChefBR,I believe that Yuko or Vitor can go out. #MasterChefBR,-1.0,-1.0,0.0
"Até eu que só vejo dia de terça não aguento mais a Mirian, imagina eles lá!

#MasterChefBR","Even I who only see Tuesday I can no longer endure Mirian, imagine them there! #MasterChefBR",-1.0,-1.0,-1.0
#MaisVoce não entendi porquê a pronúncia de trial muda quando relacionada com bike!,#MaisVoce I don't understand why trial pronunciation changes when related to bike!,-1.0,-1.0,-1.0
Nossa que cara ridículo #encontro,The Funny Face – Meeting,-1.0,-1.0,0.0
"@yonarede Rola dela ir em um talk show? Prefiro o #ProgramadoPorchat do @FabioPorchat, mas pode ser também no #TheNoite do @DaniloGentili.","I prefer the #ProgramadoPorchat from @FabioPorchat, but it may also be on the #TheNoite from @DaniloGentili.",1.0,0.0,0.0
Gostaria de solicitar o cancelamento desse último episódio do #MasterChefBR,I would like to request the cancellation of this last episode of #MasterChefBR,-1.0,-1.0,-1.0
"#MasterChefBR Esse Forgaça, que homem sexy é esse. Adoro","#MasterChefBR This Frog, what sexy man is this.",1.0,1.0,1.0
Que linda @fbbreal no #VideoShowAoVivo ela é demais! 🙈😍,How beautiful @fbbreal on #VideoShowAoLive she is too!,1.0,1.0,1.0
gente alguém para esse Eduardo e a mãe dele por favor #Encontro,I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure I'm sure.,-1.0,0.0,1.0
2017 e o #VideoShowAoVivo ainda passa o @omarciusmelhem fazendo piada com estupro vestido de mulher,2017 and the #VideoShowAoVivo still pass @omarciusmelhem making joke with women’s dressed rape,-1.0,-1.0,-1.0
@pricabarros007 @luferreira Você está linda como sempre ❤️❤️ #TeamLu #VideoShowAoVivo,@pricabarros007 @luferreira You are beautiful as always ❤️❤️ #TeamLu #VideoShowAoVivo,1.0,1.0,1.0
Pepeca Chora nova música do Catra #TheNoite,Pepeca Cry Catra's New Music #TheNoite,0.0,0.0,0.0
Se eu amei essa matéria ? Cala a boca que tá passando Vivianne Pasmanter na tv #VideoShowAoVivo,If I Loved This Subject? Cala the Mouth That's Passing Vivianne Pasmanter on TV #VideoShowAoVivo,1.0,1.0,1.0
#Thenoite pq os brasileiros qdo vão lá fora se esforçam p falar inglês sendo q aqui qnd vem internacionais não tentam falar nossa língua?,#Thenoite pq the Brazilians qdo go out if they try to speak English while q here qnd comes international don't try to speak our language?,-1.0,-1.0,-1.0
"Caralho, esse texto do Murilo HAHAHAHAHAHA

#TheNoite",This article by Murilo HAHAHAHAHA #TheNoite,1.0,1.0,1.0
Equipe azul deve vencer. #MasterChefBR,The blue team must win. #MasterChefBR,1.0,1.0,1.0
As definições de HOMAO DA PORRA foram atualizadas #TheNoite,The HOMAO DA PORRA definitions have been updated #TheNoite,1.0,0.0,0.0
Infelizmente só assisti ao programa hoje. Foi ótimo ! #MasterChefBr,Unfortunately I just watched the program today. It was great! #MasterChefBr,1.0,1.0,1.0
Leonardo vc é chato bj xau #MasterChefBR,Leonardo vc is boring bj xau #MasterChefBR,-1.0,-1.0,-1.0
"Desconstruído o pseudônimo, a Justiça brasileira liberou o livro. Prejuízos à parte, marketing feito. Boa colheita.  #ConversaComBial","Unconstructed the pseudonym, the Brazilian Justice released the book. Losses a part, marketing done. Good harvest. #ConversaComBial",-1.0,1.0,1.0
"A melhor dupla no comando!! Ota e Joca @otacosta 
#VideoShowAoVivo",The best double in command!! Ota and Joca @otacosta #VideoShowAoVivo,1.0,1.0,1.0
Gente que Lindo essa homenagem do @DaniloGentili Ao Programa A praça é nossa!! Emocionante #TheNoite,People who Lindo this tribute from @DaniloGentili to the program The square is our!!,1.0,1.0,1.0
Explica essa parada de colocar pedra na ração pro cachorro comer mais devagar #EDeCasa,Explain this stop of putting stone in the feed for dog to eat more slowly #EDeCasa,-1.0,-1.0,-1.0
Achei sacanagem com o Vitor B. #MasterChefBR,I found scratch with Vitor B. #MasterChefBR,-1.0,-1.0,0.0
@EncontroFatima tem repetido  muitas pautas #Encontro,@EncontroFatima has repeated many guidelines #Encontro,-1.0,0.0,0.0
Por isso q eu falo q a mãe q cria um filho machista! #Encontro,That’s why I’m telling that a mother is giving birth to a male child!,1.0,-1.0,0.0
Aliviado pq os deuses foram super bem elogiados @MChefVictorV @MChefDeborah #MasterChefBR,Relieved pq the gods were super well praised @MChefVictorV @MChefDeborah #MasterChefBR,1.0,1.0,1.0
Fé no pai que hoje a Mirian sai #MasterChefBR,Faith in the father that today Mirian leaves #MasterChefBR,1.0,0.0,0.0
#VideoshowAovivo essa bruna e uma gata,#VideoshowAovivo this brown and a cat,1.0,1.0,0.0
vai vai vai passando 🎶 #AltasHoras,It's going to go through #HighHoras,1.0,0.0,0.0
"Léo Lins de VERA VERÃO mano Ri Demais kkkkkkkkķkk
EEEEEEEEEEEEEEPÁ kkkkkkkk
@LeoLins @DaniloGentili #THENOITE","I think it’s a good thing to do, but it’s a good thing to do, and it’s a good thing to do.",1.0,1.0,1.0
"Me identifiquei com o Manoel ,até hoje eu n faço tatoo porque minha mãe n deixa ! mesmo morando longe dela só saio se ela deixar 
#Encontro","I identified myself with Manoel, until today I do a tattoo because my mother leaves! even living away from her I only go out if she leaves #Meet",1.0,0.0,0.0
"Ta se esfregando em publico perto dos outros constrange sim independente se for velho, novo, hetero, etc. #encontro","It’s a good thing to do, but it’s a good thing to do, it’s a good thing to do, it’s a good thing to do.",-1.0,-1.0,1.0
"Essa aí passou, essa aí passou #AltasHoras","This has passed, this has passed, this has passed, this has passed, this has passed.",1.0,0.0,0.0
Começando o #MasterchefBR Peixes!,Starting the #MasterchefBR Fishes!,1.0,1.0,0.0
"#MasterChefBR 
Hoje vai ter briga.",#MasterChefBR Today will be fighting.,0.0,0.0,0.0
PQ UM NHOC EM 49 MINUTOS SENHOR? #MasterChefBR @nhoc,PQ A Night in 49 Minutes Mr. #MasterChefBR @nhoc,-1.0,-1.0,0.0
E hoje não teve Laura que pena #AltasHoras,And today has not Laura that regret #AltasHoras,-1.0,-1.0,-1.0
"Eu quero nos dois bem juntinhos
Até ficar bem velhinhos
Bengala e Crochê♥
#MaiaraeMaraisaNoBial #ConversaComBial @MaiaraeMaraisa",I want in the two well together To be well old Bengal and Croatian♥ #MaiaraeMaraisaNoBial #ConversaComBial @MaiaraeMaraisa,1.0,1.0,1.0
MERLÔ? QUE NAVE É ESSA?? aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa #VideoShowAoVIVO,Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1.0,-1.0,0.0
Podiam trocar a Yuko pela Mirian nos times do #MasterChefBR,They could exchange Yuko for Mirian at #MasterChefBR teams,1.0,0.0,0.0
"Maiara, deixa a maraisa envergonhada..
#ConversaComBial #MaiaraeMaraisaNoBial @MaiaraeMaraisa","Mayara, leaves the maris shameful. #ConversaComBial #MaiaraeMaraisaNoBial @MaiaraeMaraisa",1.0,-1.0,-1.0
"Falta muito coisa #TimeAzul
#MasterChefBR",There’s a lot left #TimeAzul #MasterChefBR,-1.0,0.0,0.0
"Esses modos de votação são os mais torturantes

#MasterChefBR",These voting modes are the most tortuous #MasterChefBR,-1.0,-1.0,-1.0
"Viviane Pasmanter esta roubando a cena.
#videoshowaovivo",Viviane Pasmanter is stealing the scene. #videoshowaovivo,1.0,-1.0,-1.0
"E dale porrada no #MasterChefBR . Não fez prato bom, leva um direto!!","And give it to the #MasterChefBR. did not make a good dish, take a straight!!",-1.0,-1.0,-1.0
#MasterChefBR SEGURA CORAÇÃO,#MasterChefBR Safe Heart,1.0,-1.0,0.0
Golias era o melhor personagem da praça é nossa #TheNoite,Golias was the best character on the square is our #TheNoite,1.0,1.0,1.0
"Amo #TheNoite! Tá especialmente engraçado hoje, com a Lulapalooza hahaha😂😂😂","I love #TheNoite! it's especially funny today, with the Lulapalooza hahaha😂😂😂😂",1.0,1.0,1.0
"Tiago Leifert, vc é homem, branco e rico. Mas é claro qur a PM do Rio sempre te ajudou e tratou bem, amore... #Encontro #EncontroComFatima","I'm not sure if I'm going to do it, but I'm not sure if I'm going to do it.",-1.0,1.0,0.0
"Frango com quiabo e angu, só me lembra uma pessoa #VideoShowAoVivo","Chicken with quiabo and angu, only a person reminds me #VideoShowAoVivo",-1.0,0.0,0.0
Maria Fernanda Cândido no #AltasHoras AAAAAAAAAAAAAAAAAAAAA!!!!,"This is the first time I’m in the world, I’m in the world, I’m in the world.",1.0,1.0,1.0
"Taís Araújo tirando onda com a Ana kkkkk gostou da performance ""da Madonna"" kkkkkkkk sei tá bom!😂 #MaisVoce","I'm not sure if I'm going to do it, but I'm not sure if I'm going to do it.",-1.0,1.0,0.0
"Gente, chegaaa, a gente já entendeu que o que tá no globo é real. Liberem a #ConversaComBial aí, por favor!?","People, enough, we’ve already understood that what’s on the globe is real.",-1.0,0.0,0.0
"Sandy cantando ""Me Espera"" no #Encontro e a gente só lembra de ??????? GUI E JÚLIA SIM","Sandy singing ""Me Waits"" on #Meet and we just remember???????",1.0,0.0,0.0
"Se fosse eu com essas sardinhas, ia fritar elas, deixar bem sequinha colocar um limão do lado, tá pronto meu prato #MasterChefBR","If I was with these sardines, I would fry them, let it be good to put a lemon on the side, you’re ready my dish #MasterChefBR",1.0,0.0,1.0
Tiê com o look despojado..sem frescura 😉 #Encontro,You are with the look off..without freshness 😉,1.0,1.0,0.0
"Tava aqui lembrando da Miriam falando ""Ó lá, o indivíduo [Fabrizio] só sabe fazer moqueca"" zzz #MasterChefBR","I had here remembering Miriam saying ""Oh there, the individual [Fabrice] can only make moqueca"" zzz #MasterChefBR",-1.0,0.0,0.0
Não acredito q o Douglas saiu e a cobra chamada Mirian ficou. RANÇO! #ForaMirian #masterchefbrasil #MasterchefBR,I don't believe that Douglas went out and the serpent called Mirian left. #ForaMirian #masterchefbrasil #MasterchefBR,-1.0,-1.0,-1.0
É #TheNoite com @DaniloGentili,It's #TheNoite with @DaniloGentili,0.0,0.0,0.0
"Não criaram ainda uma música sobre futebol melhor que ""É Uma Partida de Futebol"" do #Skank ! Esse é um hino!
#VídeoShowAoVivo","They have not yet created a better music about football than ""It's a Football Match"" from #Skank!",1.0,1.0,1.0
As punições precisam ser exemplares. .@Andrea_Ramal #Encontro,The penalties must be exemplary..@Andrea_Ramal #Encontro,0.0,0.0,1.0
#Conversacombial o talkShow q vc respeita! #Bemassim,#Conversacombial the talkShow q vc respects! #Bemassim,1.0,1.0,1.0
"quem tem prova amanhã de manhã e tá vendo masterchef ao invés de estudar? Isso mesmo, euzinha #MasterChefBR",Who has the exam tomorrow morning and is going to see masterchef instead of studying?,0.0,0.0,0.0
Pq os cara cozinham batata inteira e com a tampa aberta se a água nem fervendo tá e eles tem pouco tempo????? #MasterChefBR,Pq the guys cook whole potato and with the cover open if the water does not boil and they have little time??? #MasterChefBR,0.0,-1.0,-1.0
"Ia toma banho,mas vou esperar passar a @BocaRosaBlog  no #edecasa",I'm going to take a bath but I'm going to wait to go @BocaRosaBlog on #edecasa,0.0,0.0,0.0
"‶Advogado de Lula‶
‶Na Justiça‶
‶Nando Reis‶
‶The National‶
‶Two Ghosts‶
#Encontro
Kiwi
Zimbábue",Lula's Lawyer In Justice Nando Reis The National Two Ghosts #Meet Kiwi Zimbabwe,0.0,0.0,-1.0
"PQP, não pode ficar entre Vitor B e Yuko. TEM QUE SAIR OUTRA PESSOAAAA... qualquer um!!!! #MasterChefBR","PQP, can't stay between Vitor B and Yuko. have to come out OTHER PEOPLE... anyone!!!! #MasterChefBR",-1.0,-1.0,-1.0
Hoje foram mtaaaaas emoções no #MasterChefBR,Today there were mtaaaaas emotions at #MasterChefBR,1.0,1.0,0.0
"Adorei a Antônia Moraes abrindo o guarda roupa dá Manu,  são mega estilosas queria essas roupas pra mim 😍 #VideoShowAoVivo @vshowaovivo","I loved Antonia Moraes opening the guard clothes gives Manu, they are mega styles I wanted these clothes for me 😍 #VideoShowAoVivo @vshowaovivo",1.0,1.0,1.0
CHORA MESMO MIRIA SUA COBRA DO CARALHO #MasterChefBR,You are here: Home #MasterChefBR #MasterChefBR,-1.0,-1.0,0.0
@bial a entrevista c o @peefabiodemelo foi mtboa! Perguntasótimas!Pena qacabou rapido!Aindabemq n haviaoutro entrevistado! #ConversaComBial,@bial the interview c the @peefabiodemelo was mtboa! Questions!Pena qacabou fast!Aindabemq n hadother interviewed! #ConversaComBial,1.0,1.0,1.0
sou otimista gracas a deus #encontro,I am an optimist thanks to God # Meeting,1.0,1.0,1.0
Muitoooo loka aquela máscara do @fogaca_henrique 👊🏻#MasterChefBR,I'm sure I'm going to have a big deal with you and I'm going to have a big deal with you.,1.0,-1.0,1.0
"Se a Ana Luíza sairá do #MasterchefBR por já ser profissional, me choca ela ser ""profissional"", pq é fraquinha que só. #Vazou","If Ana Luiza leaves #MasterchefBR because she’s already professional, I’m shocked she’s “professional”, pq is weak that alone. #Vazou",-1.0,-1.0,-1.0
"Nada mais normal que a Ana luíza,estudante de Zootecnia ganhar a prova das vísceras #MasterChefBR","Nothing more normal than Ana Luisa, Zootechnical student wins the test of the #MasterChefBR visceras",0.0,0.0,1.0
@FelipeCastanho que saudade de comer maniçoba que deu assistindo o #MasterChefBR!,@FelipeCastanho that misses eating manicoba that has given you a look at #MasterChefBR!,0.0,-1.0,-1.0
Tônico arrasou com Bruna Marquezine . #VideoShowAoVivo,"It’s a good thing to do, but it’s a good thing to do.",1.0,1.0,1.0
